,company_industry,company_ipo_code,company_country,company_revenue,company_name,company_rank
3533,"['Furniture', 'Manufacturing']",SCS,USA,$0.79 B,Steelcase,4858
3534,[],DWAC,USA,$0.79 B,Digital World Acquisition,4856
3535,"['Energy', 'Electricity']",CEPU,Argentina,$0.79 B,Central Puerto,4857
3536,"['Footwear', 'Manufacturing']",WWW,USA,$0.80 B,Wolverine World Wide,4855
3537,['ElectricVehicles'],GGR,Taiwan,$0.80 B,Gogoro,4854
3538,"['Airlines', 'Travel', 'Transportation']",089590.KS,South Korea,$0.80 B,Jeju Air,4853
3539,"['Tech', 'Software']",RXT,USA,$0.80 B,Rackspace Technology,4852
3540,"['Investment', 'Financialservices', 'AssetManagement']",SLRC,USA,$0.80 B,SLR Investment,4851
3541,"['Medicaldevices', 'Medicalequipment']",VREX,USA,$0.80 B,Varex Imaging,4849
3542,['Financialservices'],IBULHSGFIN.NS,India,$0.80 B,Indiabulls Housing Finance,4848
3543,"['Pharmaceuticals', 'Biotech']",SPARC.NS,India,$0.80 B,SPARC,4847
3544,['GlovesPPE'],STGT.BK,Thailand,$0.80 B,Sri Trang Gloves,4850
3545,"['Steelproducers', 'Steelindustry']",TMST,USA,$0.80 B,TimkenSteel,4846
3546,"['Banks', 'Financialservices']",FBMS,USA,$0.80 B,The First Bancshares,4845
3547,"['Financialservices', 'Tech']",TIGR,China,$0.80 B,UP Fintech (Tiger Brokers),4843
3548,['Retail'],TOKMAN.HE,Finland,$0.80 B,Tokmanni,4844
3549,['Financialservices'],EDELWEISS.NS,India,$0.80 B,Edelweiss Financial Services,4842
3550,['Realestate'],PGRU,Singapore,$0.80 B,PropertyGuru,4841
3551,"['Financialservices', 'Investment']",EFC,USA,$0.80 B,Ellington Financial,4840
3552,[],AMRK,USA,$0.80 B,A-Mark Precious Metals,4839
3553,[],ASLE,USA,$0.81 B,AerSale,4837
3554,"['Software', 'Tech']",CLBT,Israel,$0.81 B,Cellebrite,4838
3555,"['Pharmaceuticals', 'Biotech']",CDMO,USA,$0.81 B,Avid Bioservices,4836
3556,[],TSE,USA,$0.81 B,Trinseo,4835
3557,['Investment'],CVG.TO,Canada,$0.81 B,Clairvest Group,4834
3558,"['ITservices', 'Professionalservices', 'Software', 'Tech']",IIIV,USA,$0.81 B,i3 Verticals,4832
3559,['Food'],SAVE.PA,France,$0.81 B,Savencia Fromage & Dairy,4833
3560,"['Internet', 'Tech']",RENN,China,$0.81 B,Renren,4831
3561,"['Pharmaceuticals', 'Biotech']",ZEAL,Denmark,$0.81 B,Zealand Pharma,4830
3562,"['Investment', 'AssetManagement', 'Financialservices']",BSIG,USA,$0.81 B,BrightSphere Investment Group,4829
3563,['Electronics'],GPRO,USA,$0.81 B,GoPro,4828
3564,['Pharmaceuticals'],019170.KS,South Korea,$0.81 B,Shinpoong Pharm,4827
3565,"['Tech', 'TechHardware']",LWLG,USA,$0.81 B,Lightwave Logic,4826
3566,['Professionalservices'],QUESS.NS,India,$0.81 B,Quess,4824
3567,[],STLTECH.NS,India,$0.81 B,Sterlite Technologies,4825
3568,[],INGERRAND.NS,India,$0.81 B,Ingersoll Rand India,4822
3569,[],MGIC,Israel,$0.81 B,Magic Software,4823
3570,"['Airlines', 'Travel', 'Transportation']",NAS.OL,Norway,$0.81 B,Norwegian Air Shuttle,4820
3571,"['Realestate', 'Internet']",OPEN,USA,$0.81 B,Opendoor,4821
3572,[],AMBER.NS,India,$0.82 B,Amber Enterprises India,4819
3573,"['Banks', 'Financialservices']",PEBO,USA,$0.82 B,Peoples Bancorp,4818
3574,"['Banks', 'Financialservices']",HTBK,USA,$0.82 B,Heritage Commerce,4817
3575,[],1T5.F,Poland,$0.82 B,Tauron Polska,4816
3576,"['SupermarketChains', 'Food', 'Retail']",DIA.MC,Spain,$0.82 B,(DIA) Distribuidora Internacional de AlimentaciÃ³n,4814
3577,"['Pharmaceuticals', 'Biotech']",PHAR,Netherlands,$0.82 B,Pharming Group,4815
3578,['Footwear'],CAL,USA,$0.82 B,Caleres,4813
3579,[],KSB.NS,India,$0.82 B,KSB ltd,4811
3580,"['Banks', 'Financialservices']",WASH,USA,$0.82 B,Washington Trust Bancorp,4812
3581,['Retail'],WINA,USA,$0.82 B,Winmark,4810
3582,[],JELD,USA,$0.82 B,Jeld-Wen,4809
3583,['Biotech'],BLFS,USA,$0.82 B,Biolife Solutions,4808
3584,[],MYE,USA,$0.82 B,Myers Industries,4806
3585,"['OilGas', 'Energy']",WTI,USA,$0.82 B,W&T Offshore,4807
3586,"['Banks', 'Financialservices']",ABTX,USA,$0.83 B,Allegiance Bancshares,4804
3587,"['Tech', 'ITservices', 'Professionalservices']",CNDT,USA,$0.83 B,Conduent,4803
3588,"['Utilitycompanies', 'Electricity', 'OilGas', 'Energy']",UTL,USA,$0.82 B,Unitil Corporation,4805
3589,"['SpecialtyVehicles', 'Manufacturing']",SHYF,USA,$0.83 B,The Shyft Group,4802
3590,['Financialservices'],PWP,USA,$0.83 B,Perella Weinberg Partners,4801
3591,"['Pharmaceuticals', 'Biotech']",ACET,USA,$0.84 B,Adicet Bio,4783
3592,"['Videogames', 'Entertainment']",SF.ST,Sweden,$0.84 B,Stillfront Group,4778
3593,['Professionalservices'],CRAI,USA,$0.84 B,CRA International,4782
3594,[],CYRX,USA,$0.84 B,CryoPort,4780
3595,"['Banks', 'Financialservices']",RBCAA,USA,$0.84 B,Republic Bank,4781
3596,['Insurance'],JRVR,Bermuda,$0.84 B,James River Group,4779
3597,[],AMWD,USA,$0.84 B,American Woodmark,4776
3598,"['Pharmaceuticals', 'Biotech']",IMTX,Germany,$0.84 B,Immatics,4777
3599,"['Tech', 'ITservices', 'Professionalservices']",GDYN,USA,$0.84 B,Grid Dynamics,4775
3600,[],PRINCEPIPE.NS,India,$0.84 B,Prince Pipes And Fittings,4773
3601,"['3DPrinting', 'Tech']",SSYS,Israel,$0.84 B,Stratasys,4774
3602,"['Biotech', 'Pharmaceuticals']",IGMS,USA,$0.84 B,IGM Biosciences,4772
3603,"['Biotech', 'Pharmaceuticals']",IDYA,USA,$0.84 B,IDEAYA Biosciences,4771
3604,['Financialservices'],SII,Canada,$0.84 B,Sprott Inc,4770
3605,[],MUM.F,Germany,$0.84 B,Mensch und Maschine,4769
3606,['Financialservices'],BBTC.NS,India,$0.85 B,Bombay Burmah,4767
3607,"['AssetManagement', 'Investment']",JUP.L,UK,$0.84 B,Jupiter Fund Management,4768
3608,['Retail'],QRTEA,USA,$0.85 B,Qurate Retail Group,4766
3609,['Healthcare'],CANO,USA,$0.85 B,Cano Health,4765
3610,"['ECommerce', 'Tech', 'Internet', 'Retail', 'Clothing', 'Luxurygoods']",MYTE,Germany,$0.85 B,MYT Netherlands Parent (Mytheresa),4764
3611,['Engineering'],PRAJIND.NS,India,$0.85 B,Praj Industries,4763
3612,"['Food', 'Restaurantchains']",PTLO,USA,$0.85 B,Portillo's,4759
3613,"['Pharmaceuticals', 'Biotech']",SANA,USA,$0.85 B,Sana Biotechnology,4761
3614,[],SAE.F,Netherlands,$0.85 B,Shop Apotheke Europe,4762
3615,[],HGS.NS,India,$0.85 B,Hinduja Global Solutions,4757
3616,"['Pharmaceuticals', 'Biotech']",ERAS,USA,$0.85 B,Erasca,4758
3617,['Telecommunication'],CEL.TA,Israel,$0.85 B,Cellcom Israel,4760
3618,['Agriculture'],AGRO,Luxembourg,$0.85 B,Adecoagro,4756
3619,['Professionalservices'],APPS.MC,Spain,$0.85 B,Applus Services,4753
3620,['Buildingmaterials'],MSLH.L,UK,$0.85 B,Marshalls plc,4752
3621,[],PLOW,USA,$0.85 B,Douglas Dynamics,4755
3622,['Chemicals'],HWKN,USA,$0.85 B,Hawkins,4754
3623,"['Realestate', 'Investment', 'REITs']",RWT,USA,$0.86 B,Redwood Trust,4751
3624,"['Courier', 'Transportation']",S08.SI,Singapore,$0.86 B,Singapore Post,4750
3625,['Utilitycompanies'],PWSA.KH,Cambodia,$0.86 B,Phnom Penh Water Supply Authority,4748
3626,['Aerospace'],VORB,USA,$0.86 B,Virgin Orbit,4747
3627,['Financialservices'],LPRO,USA,$0.86 B,Open Lending,4749
3628,"['Financialservices', 'Investment']",CDRE,USA,$0.86 B,Cadre,4746
3629,['Footwear'],HIBB,USA,$0.86 B,Hibbett Sports,4745
3630,"['Banks', 'Financialservices']",BFC,USA,$0.86 B,Bank First,4744
3631,['Mining'],SLCA,USA,$0.86 B,U.S. Silica,4743
3632,"['Mining', 'Goldmining']",DPM.TO,Canada,$0.86 B,Dundee Precious Metals,4740
3633,['Telecommunication'],WOW,USA,$0.86 B,WideOpenWest,4742
3634,[],CLB,Netherlands,$0.86 B,Core Laboratories,4741
3635,"['Tech', 'TechHardware', 'Software']",IONQ,USA,$0.86 B,IonQ,4739
3636,"['Pharmaceuticals', 'Biotech']",GERN,USA,$0.87 B,Geron,4736
3637,"['Videogames', 'Entertainment']",0797.HK,China,$0.86 B,7Road,4738
3638,"['Realestate', 'Investment', 'REITs']",PLYM,USA,$0.87 B,Plymouth Industrial REIT,4737
3639,[],IFP.TO,Canada,$0.87 B,Interfor,4734
3640,"['Pharmaceuticals', 'Biotech']",PLRX,USA,$0.87 B,Pliant Therapeutics,4735
3641,"['Mining', 'Goldmining']",WDO.TO,Canada,$0.87 B,Wesdome Gold Mines,4732
3642,"['Realestate', 'Investment', 'REITs']",BRSP,USA,$0.87 B,BrightSpire Capital,4733
3643,"['Software', 'Tech']",LPSN,USA,$0.88 B,LivePerson,4731
3644,['Entertainment'],IMAX,Canada,$0.88 B,Imax Corp,4729
3645,"['OilGas', 'Energy']",LPI,USA,$0.88 B,Laredo Petroleum,4730
3646,"['Pharmaceuticals', 'Biotech']",ENTA,USA,$0.88 B,Enanta Pharmaceuticals,4728
3647,['Realestate'],MRC.TO,Canada,$0.88 B,Morguard,4726
3648,"['Semiconductors', 'Tech']",AOSL,USA,$0.88 B,Alpha & Omega Semiconductor,4727
3649,"['OilGas', 'Energy']",AOI.TO,Canada,$0.88 B,Africa Oil,4725
3650,"['Software', 'Tech']",AVPT,USA,$0.88 B,AvePoint,4724
3651,['Construction'],DFH,USA,$0.88 B,Dream Finders Homes,4723
3652,"['Machinerymanufacturing', 'Manufacturing']",PFI.F,Austria,$0.88 B,Palfinger,4721
3653,['Realestate'],ALSO3.SA,Brazil,$0.88 B,Aliansce Sonae Shopping Centers,4722
3654,"['Steelproducers', 'Steelindustry', 'WasteRecycling']",SCHN,USA,$0.89 B,Schnitzer Steel,4718
3655,"['IoT', 'Software', 'Tech']",TUYA,China,$0.89 B,tuya,4720
3656,"['MedicalCareFacilities', 'Realestate', 'Investment', 'REITs']",CHCT,USA,$0.89 B,Community Healthcare Trust,4719
3657,['Chemicals'],CCF,USA,$0.89 B,Chase Corporation,4717
3658,['Tires'],TWI,USA,$0.89 B,Titan International,4716
3659,"['Restaurantchains', 'Food']",RECP.TO,Canada,$0.89 B,Recipe Unlimited,4715
3660,[],NBCC.NS,India,$0.89 B,NBCC India,4714
3661,"['Internet', 'Tech']",LWSA3.SA,Brazil,$0.89 B,Locaweb,4712
3662,['Pulpandpaper'],MERC,Canada,$0.89 B,Mercer International,4710
3663,"['Energy', 'OilGas']",DO,USA,$0.89 B,Diamond Offshore Drilling,4713
3664,"['Banks', 'Financialservices']",INTR,Brazil,$0.89 B,Inter & Co,4708
3665,"['Tech', 'Internet']",NWO.F,Germany,$0.89 B,New Work,4711
3666,['Healthcare'],NHC,USA,$0.89 B,National Healthcare,4706
3667,['Food'],NRS.OL,Norway,$0.89 B,Norway Royal Salmon,4707
3668,"['Internet', 'Tech']",ROVR,USA,$0.90 B,Rover,4705
3669,['Hydrogenfuelcell'],CWR.L,UK,$0.89 B,Ceres Power,4709
3670,[],TITN,USA,$0.90 B,Titan Machinery,4704
3671,"['Energy', 'Renewableenergy', 'Manufacturing']",MAXN,Singapore,$0.90 B,Maxeon Solar Technologies,4703
3672,['Mining'],DNN,Canada,$0.90 B,Denison Mines,4701
3673,[],T1L.F,Austria,$0.90 B,Sparkassen Immobilien,4702
3674,[],ODPV3.SA,Brazil,$0.91 B,OdontoPrev,4683
3675,"['Telehealth', 'Healthcare', 'Internet', 'Tech']",AMWL,USA,$0.91 B,American Well,4681
3676,[],UFPT,USA,$0.91 B,UFP Technologies,4682
3677,"['Pharmaceuticals', 'Biotech']",ACLX,USA,$0.92 B,Arcellx,4680
3678,['Insurance'],ARGO,Bermuda,$0.92 B,Argo Group,4678
3679,['Courier'],PNL.AS,Netherlands,$0.92 B,PostNL,4679
3680,"['Pharmaceuticals', 'Biotech']",VRNA,UK,$0.92 B,Verona Pharma,4677
3681,['Investment'],AC,USA,$0.92 B,Associated Capital Group,4676
3682,[],MLAB,USA,$0.92 B,Mesa Laboratories,4675
3683,"['Pharmaceuticals', 'Biotech']",INVA,USA,$0.92 B,Innoviva,4674
3684,['Construction'],KNRCON.NS,India,$0.92 B,Knr Constructions,4673
3685,"['Internet', 'Financialservices', 'Tech']",PPH.NZ,New Zealand,$0.92 B,Pushpay Holdings,4671
3686,"['Pharmaceuticals', 'Biotech']",BCYC,UK,$0.92 B,Bicycle Therapeutics,4672
3687,['Steelindustry'],SPLP,USA,$0.92 B,Steel Partners,4670
3688,"['Ports', 'Infrastructure']",HHFA.F,Germany,$0.92 B,Hamburger Hafen,4669
3689,['Realestate'],KWIPF,New Zealand,$0.92 B,Kiwi Property,4668
3690,"['Tech', 'Software']",GENI,UK,$0.93 B,Genius Sports,4667
3691,['Investment'],BBDC,USA,$0.93 B,Barings BDC,4664
3692,['Transportation'],ULH,USA,$0.93 B,Universal Logistics Holdings,4663
3693,['Mining'],UUUU,USA,$0.93 B,Energy Fuels,4666
3694,"['Hotels', 'Travel']",PLYA,USA,$0.93 B,Playa Hotels & Resorts,4665
3695,[],PRO,USA,$0.93 B,PROS,4659
3696,['Education'],PRDO,USA,$0.93 B,Perdoceo Education,4660
3697,['Food'],6014.SR,Saudi Arabia,$0.93 B,Alamar Foods Company,4662
3698,['Investment'],CYB.TO,Canada,$0.93 B,Cymbria,4661
3699,"['Electricity', 'Construction', 'Energy']",KALPATPOWR.NS,India,$0.93 B,Kalpataru Power Transmission,4658
3700,"['Videogames', 'Entertainment', 'Tech', 'Advertising', 'MediaPress', 'Internet']",3632.T,Japan,$0.93 B,Gree,4655
3701,"['AssetManagement', 'Investment']",CET,USA,$0.93 B,Central Securities,4657
3702,"['Mining', 'Goldmining']",OSK.TO,Canada,$0.93 B,Osisko Mining,4656
3703,[],GRAPHITE.NS,India,$0.94 B,Graphite India,4654
3704,['Medicaldevices'],KIDS,USA,$0.94 B,OrthoPediatrics,4653
3705,"['Realestate', 'Investment', 'REITs']",RPT,USA,$0.94 B,RPT Realty,4652
3706,['MediaPress'],NETWORK18.NS,India,$0.94 B,Network18,4651
3707,['Industrialsupplies'],MRC,USA,$0.94 B,MRC Global,4648
3708,"['Banks', 'Financialservices']",AMTB,USA,$0.94 B,Amerant Bancorp,4650
3709,"['Videogames', 'Internet', 'Entertainment', 'Tech']",3765.T,Japan,$0.94 B,GungHo Online Entertainment,4646
3710,"['Stockexchanges', 'Financialservices', 'StockCryptoexchanges']",BSE.NS,India,$0.94 B,BSE,4649
3711,"['Realestate', 'Investment', 'REITs']",UMH,USA,$0.94 B,UMH Properties,4645
3712,['Telecommunication'],TKG.JO,South Africa,$0.94 B,Telkom SA,4647
3713,['Healthcare'],NRC,USA,$0.94 B,NRC Health,4643
3714,"['Banks', 'Financialservices']",VLK.AS,Netherlands,$0.94 B,Van Lanschot Kempen,4644
3715,"['Pharmaceuticals', 'Biotech']",PRTC,USA,$0.95 B,PureTech Health,4642
3716,"['REITs', 'Realestate', 'Investment']",CBL,USA,$0.95 B,CBL Properties,4641
3717,[],NSSC,USA,$0.95 B,NAPCO Security Technologies,4640
3718,[],HCSG,USA,$0.95 B,Healthcare Services Group,4639
3719,[],ANGI,USA,$0.95 B,ANGI Homeservices,4638
3720,"['Internet', 'MediaPress']",CARS,USA,$0.95 B,Cars.com,4637
3721,"['Pharmaceuticals', 'Biotech']",CRNX,USA,$0.95 B,Crinetics Pharmaceuticals,4636
3722,['Food'],AGR.VI,Austria,$0.95 B,Agrana,4634
3723,['Construction'],NCC-B.ST,Sweden,$0.95 B,NCC,4633
3724,"['REITs', 'Realestate', 'Investment']",FFA.JO,South Africa,$0.95 B,Fortress REIT,4635
3725,['Wellness'],OSW,Bahamas,$0.95 B,OneSpaWorld,4631
3726,"['Banks', 'Financialservices']",CUBI,USA,$0.95 B,Customers Bancorp,4632
3727,"['Pharmaceuticals', 'Biotech']",LYEL,USA,$0.95 B,Lyell Immunopharma,4630
3728,[],BLS.NS,India,$0.96 B,BLS International,4629
3729,"['Banks', 'Financialservices']",BANC,USA,$0.96 B,Banc of California,4628
3730,"['Software', 'Tech']",CINT,Brazil,$0.96 B,CI&T,4627
3731,"['REITs', 'Realestate', 'Investment']",RTL,USA,$0.96 B,The Necessity Retail REIT,4626
3732,[],GDOT,USA,$0.96 B,Green Dot,4625
3733,['Food'],DOLE,Ireland,$0.96 B,Dole PLC,4623
3734,['Conglomerate'],MATW,USA,$0.96 B,Matthews International Corporation,4622
3735,"['Restaurantchains', 'Food']",EAT.MC,Spain,$0.96 B,AmRest,4624
3736,"['Pharmaceuticals', 'Biotech']",RGNX,USA,$0.97 B,REGENXBIO,4621
3737,"['Electronics', 'Semiconductors', 'Tech']",VECO,USA,$0.97 B,Veeco,4620
3738,['Food'],STKL,Canada,$0.97 B,SunOpta,4618
3739,"['Pharmaceuticals', 'Biotech']",VALN,France,$0.97 B,Valneva SE,4617
3740,"['Transportation', 'SecurityProtectionServices']",CASH.MC,Spain,$0.97 B,Prosegur Cash,4619
3741,[],JINDWORLD.NS,India,$0.97 B,Jindal Worldwide,4616
3742,[],GIC,USA,$0.97 B,Global Industrial Company,4615
3743,['CosmeticsandBeauty'],CUTR,USA,$0.97 B,Cutera,4614
3744,['Insurance'],AMSF,USA,$0.97 B,AMERISAFE,4613
3745,"['Tech', 'Electronics']",TOM2.AS,Netherlands,$0.97 B,TomTom,4607
3746,['Cannabis'],CRLBF,USA,$0.97 B,Cresco Labs,4612
3747,"['Mining', 'Goldmining', 'SilverMining']",CDE,USA,$0.97 B,Coeur Mining,4611
3748,[],ASTE,USA,$0.97 B,Astec Industries,4610
3749,['Financialservices'],GLJ.F,Germany,$0.97 B,Grenke,4609
3750,"['Stockexchanges', 'Financialservices', 'StockCryptoexchanges']",MCX.NS,India,$0.97 B,Multi Commodity Exchange,4605
3751,"['Banks', 'Financialservices']",CNOB,USA,$0.97 B,ConnectOne Bancorp,4606
3752,['Retail'],FNAC.PA,France,$0.97 B,Fnac Darty,4608
3753,"['Banks', 'Financialservices']",PFC,USA,$0.97 B,Premier Financial,4604
3754,['Construction'],STRL,USA,$0.98 B,Sterling Construction,4603
3755,['Mining'],IE,Canada,$0.98 B,Ivanhoe Electric,4602
3756,"['Cement', 'Buildingmaterials']",CEM.MI,Italy,$0.98 B,Cementir,4601
3757,[],JSLHISAR.NS,India,$0.99 B,Jindal Stainless (Hisar),4583
3758,"['OilGas', 'Energy']",SPH,USA,$0.99 B,Suburban Propane Partners,4581
3759,"['Banks', 'Financialservices']",LB.TO,Canada,$0.99 B,Laurentian Bank of Canada,4582
3760,['Agriculture'],AALI.JK,Indonesia,$1.00 B,Astra Agro Lestari,4580
3761,"['Financialservices', 'Internet', 'Tech']",PSFE,USA,$1.00 B,Paysafe,4579
3762,['Retail'],CWH,USA,$1.00 B,Camping World,4577
3763,"['Semiconductors', 'ScientificTechnicalInstruments', 'Manufacturing']",CAMT,Israel,$1.00 B,Camtek,4578
3764,"['Videogames', 'Entertainment']",300518.SZ,China,$1.00 B,Shen Zhen Shengxunda Technology (gamexun),4576
3765,['Medicaldevices'],LMAT,USA,$1.00 B,LeMaitre Vascular,4575
3766,"['Transportation', 'Maritimetransportation', 'OilGas']",TNK,Canada,$1.00 B,Teekay Tankers,4574
3767,"['Videogames', 'Entertainment']",MTG-B.ST,Sweden,$1.00 B,Modern Times Group (MTG),4572
3768,"['Pharmaceuticals', 'Biotech']",FMTX,USA,$1.00 B,Forma Therapeutics,4573
3769,[],APOG,USA,$1.00 B,Apogee Enterprises,4571
3770,"['Banks', 'Financialservices']",2356.HK,Hong Kong,$1.00 B,Dah Sing Banking Group,4570
3771,"['Batteries', 'WasteRecycling']",LICY,Canada,$1.01 B,Li-Cycle,4569
3772,"['Pharmaceuticals', 'Biotech']",ACRS,USA,$1.01 B,Aclaris Therapeutics,4568
3773,['WasteRecycling'],PCT,USA,$1.01 B,PureCycle Technologies,4567
3774,"['Banks', 'Financialservices']",PBB.DE,Germany,$1.01 B,Deutsche Pfandbriefbank,4566
3775,"['Realestate', 'Investment', 'REITs']",CSR,USA,$1.01 B,Centerspace,4565
3776,"['Multilevelmarketing', 'Wellness', 'Dietarysupplements']",USNA,USA,$1.02 B,USANA,4562
3777,"['Education', 'Internet']",KAHOT.OL,Norway,$1.01 B,Kahoot!,4564
3778,[],IAG,Canada,$1.02 B,Iamgold,4563
3779,[],CBD,Brazil,$1.02 B,GPA,4561
3780,['Insurance'],SPNT,Bermuda,$1.02 B,SiriusPoint,4560
3781,[],DCPH,USA,$1.02 B,Deciphera Pharmaceuticals,4559
3782,[],OFLX,USA,$1.02 B,Omega Flex,4558
3783,[],000150.KS,South Korea,$1.02 B,Doosan,4557
3784,"['ECommerce', 'Internet', 'Retail', 'Food']",DDL,China,$1.02 B,Dingdong Maicai,4556
3785,"['Hotels', 'Investment', 'Travel']",0071.HK,Hong Kong,$1.02 B,Miramar Hotel and Investment,4555
3786,"['Construction', 'Realestate']",MVC.MC,Spain,$1.02 B,Metrovacesa,4554
3787,"['Pharmaceuticals', 'Biotech']",MORF,USA,$1.02 B,Morphic Therapeutic,4553
3788,[],AZZ,USA,$1.03 B,AZZ,4552
3789,"['Biotech', 'Pharmaceuticals']",ARQT,USA,$1.03 B,Arcutis Biotherapeutics,4549
3790,['Mining'],PLL,Australia,$1.03 B,Piedmont Lithium,4551
3791,"['Pharmaceuticals', 'Biotech']",KURA,USA,$1.03 B,Kura Oncology,4548
3792,[],RGR,USA,$1.03 B,"Sturm, Ruger & Co",4550
3793,"['OilGas', 'Energy']",GLP,USA,$1.03 B,Global Partners LP,4547
3794,['Medicaldevices'],OM,USA,$1.03 B,Outset Medical,4545
3795,[],SBS.F,Germany,$1.03 B,STRATEC,4544
3796,[],SPNS,Israel,$1.03 B,Sapiens,4543
3797,"['Banks', 'Financialservices']",PFBC,USA,$1.03 B,Preferred Bank,4546
3798,"['Healthcare', 'MedicalCareFacilities']",INNV,USA,$1.03 B,InnovAge,4542
3799,"['Banks', 'Financialservices']",BRKL,USA,$1.03 B,Brookline Bancorp,4541
3800,['Internet'],MOMO,China,$1.04 B,Momo,4540
3801,"['Pharmaceuticals', 'Biotech']",VRDN,USA,$1.04 B,Viridian Therapeutics,4539
3802,"['MediaPress', 'Entertainment']",TL5.MC,Spain,$1.04 B,Mediaset EspaÃ±a ComunicaciÃ³n,4536
3803,"['Tech', 'Software']",GBG.L,UK,$1.04 B,GB Group (GBG),4538
3804,['Packaging'],TCL-A.TO,Canada,$1.04 B,Transcontinental,4537
3805,['Furniture'],LZB,USA,$1.04 B,La-Z-Boy,4534
3806,['Realestate'],TEG.F,Germany,$1.04 B,TAG Immobilien,4535
3807,[],KORI.PA,France,$1.04 B,Korian,4533
3808,[],HOLI,China,$1.04 B,Hollysys Automation Technologie,4532
3809,"['Realestate', 'Investment', 'REITs']",AHH,USA,$1.04 B,Armada Hoffler Properties,4531
3810,['Dietarysupplements'],JWEL.TO,Canada,$1.04 B,Jamieson Wellness,4530
3811,['Insurance'],PRA,USA,$1.04 B,ProAssurance,4529
3812,['Healthcare'],MPLN,USA,$1.04 B,MultiPlan,4528
3813,"['Videogames', 'Entertainment']",002354.SZ,China,$1.04 B,Tianyu Digital Technology (Dalian),4527
3814,[],OPK,USA,$1.05 B,OPKO Health,4525
3815,"['Maritimetransportation', 'Containershipping', 'Transportation', 'RentalLeasingServices']",DAC,Greece,$1.04 B,Danaos,4526
3816,"['Software', 'Tech']",DFIN,USA,$1.05 B,Donnelley Financial Solutions,4524
3817,"['OilGas', 'Chemicals']",CLMT,USA,$1.05 B,Calumet Specialty Products Partners,4523
3818,[],FINCABLES.NS,India,$1.05 B,Finolex Cables,4521
3819,['Financialservices'],MGI,USA,$1.05 B,MoneyGram,4522
3820,"['Ports', 'Infrastructure']",WTE.TO,Canada,$1.05 B,Westshore Terminals Investment,4519
3821,"['Restaurantchains', 'Food']",MTY.TO,Canada,$1.05 B,MTY Food Group,4518
3822,"['Energy', 'OilGas', 'Utilitycompanies']",MGL.NS,India,$1.05 B,Mahanagar Gas,4520
3823,"['Software', 'Tech']",MNTV,USA,$1.05 B,Momentive Global,4517
3824,['Medicaldevices'],ATRI,USA,$1.06 B,Atrion,4515
3825,['MediaPress'],GTN,USA,$1.06 B,Gray Television,4516
3826,['Beverages'],WEST,USA,$1.06 B,Westrock Coffee,4514
3827,"['Banks', 'Financialservices']",MBIN,USA,$1.06 B,Merchants Bancorp,4512
3828,"['Transportation', 'Maritimetransportation']",CMRE,Monaco,$1.06 B,Costamare,4511
3829,"['Pharmaceuticals', 'Biotech']",KNSA,Bermuda,$1.06 B,Kiniksa Pharmaceuticals,4510
3830,"['AutomotiveSuppliers', 'autoparts']",AXL,USA,$1.06 B,American Axle & Manufacturing,4513
3831,[],MOD,USA,$1.06 B,Modine Manufacturing,4509
3832,"['Realestate', 'Investment', 'REITs']",KREF,USA,$1.06 B,KKR Real Estate Finance Trust,4508
3833,"['Banks', 'Financialservices']",BSLI3.SA,Brazil,$1.07 B,Banco de BrasÃ­lia,4505
3834,"['CosmeticsandBeauty', 'Wellness']",WALD,USA,$1.07 B,Waldencast,4504
3835,"['REITs', 'Realestate', 'Investment']",NYMT,USA,$1.06 B,New York Mortgage Trust,4507
3836,"['Airlines', 'Travel', 'Transportation']",SNCY,USA,$1.07 B,Sun Country Airlines,4506
3837,"['Engineering', 'Professionalservices']",RITES.NS,India,$1.07 B,RITES,4502
3838,"['Software', 'Tech']",USER,USA,$1.07 B,UserTesting,4500
3839,[],EUZ.F,Germany,$1.07 B,Eckert & Ziegler,4503
3840,"['Banks', 'Financialservices']",HFWA,USA,$1.09 B,Heritage Financial,4481
3841,"['Software', 'Tech', 'Financialservices']",MLNK,USA,$1.09 B,MeridianLink,4480
3842,"['ECommerce', 'Internet', 'Tech', 'Retail']",THG.L,UK,$1.10 B,THG (The Hut Group),4479
3843,[],TARO,Israel,$1.10 B,Taro Pharmaceutical,4477
3844,"['Pulpandpaper', 'Packaging']",MATV,USA,$1.10 B,Mativ Holdings,4478
3845,"['Energy', 'OilGas', 'OilGasEquipmentServices']",DMLP,USA,$1.10 B,Dorchester Minerals,4476
3846,"['Pharmaceuticals', 'Biotech']",ZNTL,USA,$1.10 B,Zentalis Pharmaceuticals,4475
3847,"['Banks', 'Financialservices']",GABC,USA,$1.10 B,German American Bancorp,4473
3848,['Chemicals'],OEC,USA,$1.10 B,Orion Engineered Carbons,4474
3849,"['FoodDelivery', 'Food', 'Internet', 'Software', 'Tech']",OLO,USA,$1.10 B,Olo,4472
3850,['Telecommunication'],VEON,Netherlands,$1.10 B,VEON,4471
3851,"['StaffingEmploymentServices', 'Professionalservices']",KFRC,USA,$1.10 B,Kforce,4469
3852,"['Genetherapy', 'Genomics', 'Pharmaceuticals', 'Biotech']",QURE,Netherlands,$1.11 B,uniQure,4466
3853,"['Airlines', 'Travel', 'Transportation']",VLRS,Mexico,$1.11 B,Volaris,4465
