,company_location,company_industry,company_name
438,"VIA INVORIO 24/A, TORINO, 10146, TORINO, ITALY",Construction,Sacyr Construccion S.a.
439,"VIA VENEZIA 58, CAMPO SAN MARTINO, 35010, PADOVA, ITALY",Manufacturing,Arneg Spa
440,"VIA BASENTO 19, SAN GIULIANO MILANESE, 20098, MILANO, ITALY",Services,General Logistics Systems Italy Spa
441,"VIA ANGELO RIZZOLI 8, MILANO, 20132, MILANO, ITALY",Manufacturing,Rizzoli Corriere Della Sera Mediagroup Spa
442,"VIA XII OTTOBRE 1, GENOVA, 16121, GENOVA, ITALY",Manufacturing,Metinvest Trametal Spa
443,"GALLERIA PASSARELLA 2, MILANO, 20122, MILANO, ITALY",Manufacturing,Sarlux Srl
444,"VIA ANTONIO PACINOTTI 3, BOLZANO, 39100, BOLZANO, ITALY","Finance, Insurance, and Real Estate",Seetech Global Industries Spa
445,"VIA CARLO AMORETTI 78, MILANO, 20157, MILANO, ITALY",Wholesale Trade,Henkel Italia Srl
446,"STRADA STATALE S.S. AURELIA KM. 237 SNC, PIOMBINO, 57025, LIVORNO, ITALY",Retail Trade,Unicoop Tirreno Soc Coop
447,"VIA MASSAUA 6, MILANO, 20146, MILANO, ITALY","Finance, Insurance, and Real Estate",Banco Bpm Vita Spa
448,"VIA FILIPPO DELLA VALLE 1, SANT'ELPIDIO A MARE, 63811, FERMO, ITALY",Manufacturing,Tod's Spa
449,"VIA SETTECAMINI 116, SANT'ELPIDIO A MARE, 63811, FERMO, ITALY","Finance, Insurance, and Real Estate",Di.vi. Finanziaria Di Diego Della Valle & C. Srl
450,"VIA DEL LAVORO 45, SOLBIATE ARNO, 21048, VARESE, ITALY",Retail Trade,Tigros Spa
451,"VIA GARDIZZA 9/B, CONSELICE, 48017, RAVENNA, ITALY",Manufacturing,Unigra' Srl
452,"MURA DI SANTA CHIARA 1, GENOVA, 16128, GENOVA, ITALY","Finance, Insurance, and Real Estate",Amissima Vita Spa
453,"VIA ANTONIO GRAMSCI 731/733, SESTO FIORENTINO, 50019, FIRENZE, ITALY",Manufacturing,Eli Lilly Italia Spa
454,"CORSO INGHILTERRA 3, TORINO, 10138, TORINO, ITALY","Finance, Insurance, and Real Estate",Intesa Sanpaolo Assicura Spa
455,"VIA ANTONIO SALIERI 36, OPPEANO, 37050, VERONA, ITALY",Manufacturing,Ferriera Valsider Spa
456,"VIA ODERZO 68, PRATA DI PORDENONE, 33080, PORDENONE, ITALY",Manufacturing,Friul Intagli Industries Spa
457,"VIA CANAREGGIO 1823/1, BORGO VENETO, 35046, PADOVA, ITALY",Retail Trade,Costantin Spa
458,"VIA MENSA 3, LUGO, 48022, RAVENNA, ITALY",Manufacturing,Eurovo Srl
459,"VIA CASILINA SUD SNC KM90,200, TORRICE, 03020, FROSINONE, ITALY",Manufacturing,Prima Sole Components Spa
460,"VIA DELLA MECCANICA 16, PESARO, 61122, PESARO E URBINO, ITALY",Manufacturing,Biesse Spa
461,"VIA EMILIA 69/71/77, RIMINI, 47921, RIMINI, ITALY",Manufacturing,Scm Group Spa
462,"VIA MASSIMO GORKI 69, CINISELLO BALSAMO, 20092, MILANO, ITALY",Wholesale Trade,Agfa
463,"VIALE FRATELLI ROSSELLI 46, PESARO, 61121, PESARO E URBINO, ITALY","Finance, Insurance, and Real Estate",Bi.fin. Srl
464,"VIA CARLO GOLDONI 10, MILANO, 20129, MILANO, ITALY",Manufacturing,Dolce & Gabbana Srl
465,"LOCALITA' LINFANO, ARCO, 38062, TRENTO, ITALY",Manufacturing,Dana Italia Srl
466,"VIA EMILIA 2614, LONGIANO, 47020, FORLI'-CESENA, ITALY","Finance, Insurance, and Real Estate",F.lli Martini & C. Spa
467,"VIA FRANCESCO ALBANI 65, MILANO, 20148, MILANO, ITALY",Manufacturing,Dow Italia Divisione Commerciale Srl
468,"VIA DEI CICLAMINI 4, MODUGNO, 70026, BARI, ITALY","Finance, Insurance, and Real Estate",Magna Powertrain Italia Srl
469,"VIA CONSOLATICO SUPERIORE 96/98, BUSSETO, 43011, PARMA, ITALY",Construction,Sicim Spa
470,"VIALE ALESSANDRO MARCHETTI 105, ROMA, 00148, ROMA, ITALY",Retail Trade,Jaguar Land Rover Italia Spa
471,"VIA NELSON MANDELA 4, VERCELLI, 13100, VERCELLI, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Nova Aeg Spa
472,"VIUZZO DI PORTO 4/B, SCANDICCI, 50018, FIRENZE, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",J.a.s. Jet Air Service Spa
473,"VIA DEL TEATRO 5, TRIESTE, 34121, TRIESTE, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Acegasapsamga Spa
474,"VIA ANNA MARIA MOZZONI 12, MILANO, 20152, MILANO, ITALY",Construction,Siram Spa
475,"VIA SAN BOVIO 3, SEGRATE, 20054, MILANO, ITALY",Manufacturing,Lenovo Italy Srl
476,"VIA CONSORTILE, AVELLINO, 83100, AVELLINO, ITALY",Services,Urbaser S.a.
477,"VIA LORENTEGGIO 240, MILANO, 20147, MILANO, ITALY",Wholesale Trade,Huawei Technologies Italia Srl
478,"PIAZZA POLI 37/42, ROMA, 00187, ROMA, ITALY","Finance, Insurance, and Real Estate",Sace Spa
479,"VIA ANTONIO CAVALIERI DUCATI 3, BOLOGNA, 40132, BOLOGNA, ITALY",Manufacturing,Ducati Motor Holding Spa
480,"VIA ENRICO CIALDINI 16, MILANO, 20161, MILANO, ITALY",Services,Equensworldline Se
481,"PIAZZA DELLE DONNE LAVORATRICI 2, TRENTO, 38121, TRENTO, ITALY","Finance, Insurance, and Real Estate",Itas Istituto Trentino Alto Adige Per Assicurazioni Societa' Mutua Di Assicurazioni
482,"LARGO AUGUSTO 8, MILANO, 20122, MILANO, ITALY","Finance, Insurance, and Real Estate",Lvmh Italia Spa
483,"VIA NAPOLI 220, CASANDRINO, 80025, NAPOLI, ITALY",Wholesale Trade,Farvima Medicinali Spa
484,"STRADA SERRAVALLE 65, NOVI LIGURE, 15067, ALESSANDRIA, ITALY",Manufacturing,Smurfit Kappa Italia Spa
485,"PIAZZA SAN FEDELE 2, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Blackrock (netherlands) Bv
486,"VIA CIRCONVALLAZIONE EST 1, STEZZANO, 24040, BERGAMO, ITALY",Manufacturing,Schneider Electric Spa
487,"VIA GIOVANNI SPADOLINI 5, MILANO, 20141, MILANO, ITALY",Services,Omnicom Media Group Srl
488,"CORSO EUROPA 2, BOLTIERE, 24040, BERGAMO, ITALY",Wholesale Trade,Volvo Group Italia Spa
489,"VIA VITORCHIANO 151, ROMA, 00189, ROMA, ITALY",Manufacturing,Msd Italia Srl
490,"VIA ARTIGIANI 2, MACLODIO, 25030, BRESCIA, ITALY",Manufacturing,Gnutti Carlo Spa
491,"VIA FRANCESCO PRIMATICCIO 155, MILANO, 20147, MILANO, ITALY",Retail Trade,L'oreal Italia Spa
492,"PASSEGGIO SANT'ANDREA 4, TRIESTE, 34123, TRIESTE, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Italia Marittima Spa
493,"VIA GRANAROLO 175/3, FAENZA, 48018, RAVENNA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",C.u.ra. Consorzio Utilities Ravenna Soc Cons Arl
494,"VIA BARTOLOMEO ZUCCHI 1, MONZA, 20900, MONZA E BRIANZA, ITALY",Construction,Progefin Spa
495,"VIALE DELL'AGRICOLTURA 7, VERONA, 37135, VERONA, ITALY",Wholesale Trade,Glaxosmithkline Spa
496,"VIA PADANA SUPERIORE 19, VIMODRONE, 20055, MILANO, ITALY",Wholesale Trade,Compagnia Generale Trattori Spa
497,"VIA MESSINA 38, MILANO, 20154, MILANO, ITALY",Wholesale Trade,Stabilo International Gmbh
498,"VIALE ARISTIDE MERLONI 45, FABRIANO, 60044, ANCONA, ITALY",Manufacturing,Ariston Spa
499,"VIALE LOMBARDIA 29, VIADANA, 46019, MANTOVA, ITALY","Finance, Insurance, and Real Estate",Saviola Holding Srl
500,"VIA FEDERICO CONFALONIERI 4, MILANO, 20124, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Google Italy Srl
501,"VIA FILIPPO DA DESIO 60, DESIO, 20832, MONZA E BRIANZA, ITALY",Wholesale Trade,Sacchi Giuseppe Spa
502,"VIA ENRICO FERMI 51, SCANZOROSCIATE, 24020, BERGAMO, ITALY",Manufacturing,Polynt Spa
503,"VIALE PARCO DELL'INDUSTRIA 5, CORCIANO, 06073, PERUGIA, ITALY",Manufacturing,Brunello Cucinelli Spa
504,"PIAZZETTA DEI SAPIENTI 1, CORCIANO, 06073, PERUGIA, ITALY","Finance, Insurance, and Real Estate",Foro Delle Arti Srl
505,"VIA CASTELLANA 90, ISTRANA, 31036, TREVISO, ITALY",Manufacturing,Pro-gest Spa
506,"VIALE ITA MARZOTTO 8, FOSSALTA DI PORTOGRUARO, 30025, VENEZIA, ITALY","Finance, Insurance, and Real Estate",Zignago Holding Spa
507,"VIA SAN MAGNO 31, CORATO, 70033, BARI, ITALY",Wholesale Trade,Maiora Srl
508,"CORSO PIETRO ROLANDI 10, QUARONA, 13017, VERCELLI, ITALY",Manufacturing,Loro Piana Spa
509,"STRADA GHERBELLA 320, MODENA, 41126, MODENA, ITALY",Manufacturing,Grandi Salumifici Italiani Spa
510,"VIA BERNARDINO TELESIO 18, MILANO, 20145, MILANO, ITALY",Services,Openjobmetis Spa Agenzia Per Il Lavoro
511,"VIA ALBERICO ALBRICCI 10, MILANO, 20122, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",2i Rete Gas Spa
512,"VIA TORRI BIANCHE 3, VIMERCATE, 20871, MONZA E BRIANZA, ITALY",Wholesale Trade,Toshiba Electronics Europe Gmbh
513,"VIA MARIO CARUCCI 131, ROMA, 00143, ROMA, ITALY",Services,Sogei Societa' Generale D'informatica Spa E In Forma Abbreviato Sogei Spa
514,"VIA DELLE GROANE 126, GARBAGNATE MILANESE, 20024, MILANO, ITALY",Wholesale Trade,Bayer Spa
515,"PIAZZA DELLA VITTORIA 10, GENOVA, 16121, GENOVA, ITALY",Wholesale Trade,Comarco Compagnia Generale Di Commercio Arbitraggio E Coperture Spa
516,"VIA CARLO EDERLE 45, VERONA, 37126, VERONA, ITALY","Finance, Insurance, and Real Estate",Vera Vita Spa
517,"VIA BENIGNO CRESPI 19, MILANO, 20159, MILANO, ITALY","Finance, Insurance, and Real Estate",Bcc Vita Spa Compagnia Di Assicurazioni Vita In Forma Abbreviato Bcc Vita Spa
518,"VIA STAZIONE 51, EGNA, 39044, BOLZANO, ITALY",Wholesale Trade,Wuerth Srl
519,"STRADA REGIONALE 148 PONTINA 0SNC, APRILIA, 04011, LATINA, ITALY",Manufacturing,Abbvie Srl
520,"VIA ANDREA DORIA 7, CASTIGLIONE DEL LAGO, 06061, PERUGIA, ITALY",Retail Trade,Coop Centro Italia Soc Coop
521,"VIA PIETRAMARINA 53, VINCI, 50059, FIRENZE, ITALY","Finance, Insurance, and Real Estate",Colorobbia Holding Spa
522,"LOCALITA' AUTOPORTO 11, POLLEIN, 11020, AOSTA, ITALY",Manufacturing,Heineken Italia Spa
523,"VIA COLLODI 6/C, FIRENZE, 50141, FIRENZE, ITALY","Finance, Insurance, and Real Estate",Dedalus Healthcare Systems Group Spa
524,"VIA UGO BASSI 6, MILANO, 20159, MILANO, ITALY",Services,Sisal Spa
525,"VIA VARESINA 162, MILANO, 20156, MILANO, ITALY",Wholesale Trade,Medtronic Italia Spa
526,"VIALE CERTOSA 249, MILANO, 20151, MILANO, ITALY",Manufacturing,Riva Acciaio Spa
527,"BASTIONI DI PORTA VOLTA 10, MILANO, 20121, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Uvet Viaggi Turismo Spa
528,"VIA LARGA 9/11, MILANO, 20122, MILANO, ITALY","Finance, Insurance, and Real Estate",Veroniki Holding Spa
529,"VIA MONTE FLAVIO 45, ROMA, 00131, ROMA, ITALY",Manufacturing,Mbda Italia Spa
530,"VIA ALDO ROSSI 4, MILANO, 20149, MILANO, ITALY",Manufacturing,Lg Electronics Italia Spa
531,"VIA GIOVANNI CARLO CAVALLI 6, TORINO, 10138, TORINO, ITALY",Services,Rai Pubblicita' Spa
532,"VIA DELLE AZALEE 15, BUCCINASCO, 20090, MILANO, ITALY",Services,Ngk Spark Plug Europe Gmbh
533,"PIAZZA SANTA BARBARA 7, SAN DONATO MILANESE, 20097, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Stoccaggi Gas Italia Spa
534,"PIAZZALE OSTIENSE 2, ROMA, 00154, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Acea Ato 2 Gruppo Acea Spa
535,"VIA LILLO DEL DUCA 10, BRESSO, 20091, MILANO, ITALY","Finance, Insurance, and Real Estate",Zambon Company Spa
536,"VIA NICCOLO' MACHIAVELLI 4, TRIESTE, 34132, TRIESTE, ITALY","Finance, Insurance, and Real Estate",Banca Generali Spa
537,"PIAZZALE PIETRO FERRERO 1, ALBA, 12051, CUNEO, ITALY",Manufacturing,Ferrero Industriale Italia Srl
538,"VIA ALESSANDRO MANZONI 38, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Design Holding Spa
539,"VIA ALESSANDRO MANZONI 38, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",International Design Group Spa
540,"STRADA PROVINCIALE 234 1/3, SOMAGLIA, 26867, LODI, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Flextronics Italy Spa
541,"LUNGADIGE GALTAROSSA 8, VERONA, 37133, VERONA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",2v Energy Srl
542,"VIA GUGLIELMO MARCONI 84, AGRATE BRIANZA, 20864, MONZA E BRIANZA, ITALY","Finance, Insurance, and Real Estate",Intercos Spa
543,"VIALE GIORGIO RIBOTTA 31, ROMA, 00144, ROMA, ITALY",Construction,Engie Servizi Spa
544,"STRADA PROVINCIALE 240 DELLE GROTTE ORIENTALI, RUTIGLIANO, 70018, BARI, ITALY",Wholesale Trade,Apulia Distribuzione Srl
545,"VIA PIETRO BORSIERI 2/A, ROMA, 00195, ROMA, ITALY",Construction,Ghella Spa
546,"VIA PISA 29, TORINO, 10152, TORINO, ITALY",Services,Synergie Italia Agenzia Per Il Lavoro Spa
547,"VIA DEL RIO 336, CESENA, 47522, FORLI'-CESENA, ITALY",Manufacturing,Avi.coop Soc Coop Agricola
548,"VIALE CRISTOFORO COLOMBO 12/14, TREZZANO SUL NAVIGLIO, 20090, MILANO, ITALY","Finance, Insurance, and Real Estate",Berlin Packaging (europe) Spa
549,"VIA ROMA 5, ISEO, 25049, BRESCIA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Trenord Srl
550,"VIALE CASTELLO DELLA MAGLIANA 68, ROMA, 00148, ROMA, ITALY",Services,Technip Energies Italy Spa
551,"VIA ZONA INDUSTRIALE MADONNA DEL MORO, UMBERTIDE, 06019, PERUGIA, ITALY",Manufacturing,Metalmeccanica Tiberina Srl
552,"VIA DEL PROGRESSO 1008, BRENDOLA, 36040, VICENZA, ITALY",Wholesale Trade,Attiva Spa
553,"PIAZZA GENERALE ARMANDO DIAZ 7, MILANO, 20123, MILANO, ITALY","Finance, Insurance, and Real Estate",Coeclerici Spa
554,"VIA XXV APRILE 5, PERO, 20016, MILANO, ITALY",Manufacturing,F.i.l.a Fabbrica Italiana Lapis Ed Affini Spa
555,"VIALE VITTORIO VENETO 14, MILANO, 20124, MILANO, ITALY","Finance, Insurance, and Real Estate",Pencil Srl
556,"VIALE SANT'EUFEMIA 108/F, BRESCIA, 25135, BRESCIA, ITALY","Finance, Insurance, and Real Estate",If 65 Spa
557,"VIA DEL LAVORO 6/8, CASALECCHIO DI RENO, 40033, BOLOGNA, ITALY",Wholesale Trade,Coop Italia Soc Coop
558,"VIALE ALEXANDRE GUSTAVE EIFFEL 15, ROMA, 00148, ROMA, ITALY","Finance, Insurance, and Real Estate",American Express Payments Europe S.l.
559,"VIA GALLARATE 184, MILANO, 20151, MILANO, ITALY",Retail Trade,Kia Italia Srl
560,"PIAZZA DI SAN SILVESTRO 8, ROMA, 00187, ROMA, ITALY",Mining,Shell Italia E&p Spa
561,"VIA ENRICO MATTEI 66, BOLOGNA, 40138, BOLOGNA, ITALY",Retail Trade,Volvo Car Italia Spa
562,"VIA RANA 12, ALESSANDRIA, 15122, ALESSANDRIA, ITALY",Manufacturing,Guala Closures Spa
563,"VIA CIOVASSINO 1, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Kos Spa
564,"LOCALITA' AI CONTI, BARGA, 55051, LUCCA, ITALY",Manufacturing,Kedrion Spa
565,"VIA VIII MARZO 6, SCANDICCI, 50018, FIRENZE, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Nippon Express Italia Spa
566,"CORSO SEMPIONE 4, MILANO, 20154, MILANO, ITALY",Wholesale Trade,Messaggerie Italiane Di Giornali Riviste E Libri Spa
567,"VIA MARIE CURIE 2, BOLZANO, 39100, BOLZANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Fercam Spa
568,"VIA STAZIONE 31, CHATILLON, 11024, AOSTA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Compagnia Valdostana Delle Acque - Compagnie Valdotaine Des Eaux Spa
569,"VIA MARIO GREPPI 2, NOVARA, 28100, NOVARA, ITALY",Retail Trade,Autogrill Italia Spa
570,"VIA GIUSEPPE RIPAMONTI 85, MILANO, 20141, MILANO, ITALY",Services,Daikin Air Conditioning Italy Spa
571,"VIA PIETRO GIARDINI 1324, MODENA, 41126, MODENA, ITALY",Manufacturing,G.a. Operations Spa
572,"VIA MONTEBELLO 18, MILANO, 20121, MILANO, ITALY","Finance, Insurance, and Real Estate",Fideuram Intesa Sanpaolo Private Banking Asset Management Societa' Di Gestione Del Risparm
573,"VIALE CARLO III TRAV. I VIA GALVANI SNC, SAN NICOLA LA STRADA, 81020, CASERTA, ITALY",Manufacturing,Proma Spa
574,"VIA PAPA GIOVANNI XXIII 4, CAPRIATE SAN GERVASIO, 24042, BERGAMO, ITALY",Services,Dussmann Service Srl
575,"VIA GIOVANNI SPADOLINI 7, MILANO, 20141, MILANO, ITALY","Finance, Insurance, and Real Estate",Assimoco Vita Spa Compagnia Di Assicurazione Sulla Vita
576,"VIA BASENTO 19, SAN GIULIANO MILANESE, 20098, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",General Logistics Systems Enterprise Srl
577,"VIA GIUSEPPE RIPAMONTI 89, MILANO, 20141, MILANO, ITALY","Finance, Insurance, and Real Estate",Cargill Eurit Srl
578,"PIAZZA LUIGI EINAUDI 4, MILANO, 20124, MILANO, ITALY",Services,Givi Holding Srl
579,"VIA CORSICA 10/12, BRESCIA, 25125, BRESCIA, ITALY",Services,Edge Network Services Limited
580,"VIA ANTONIO SANT'ELIA ZONA INDUSTRIALE, CORATO, 70033, BARI, ITALY",Manufacturing,Molino Casillo Spa
581,"VIA LILLO DEL DUCA 10, BRESSO, 20091, MILANO, ITALY",Manufacturing,Zambon Spa
582,"CIRCONVALLAZIONE OVEST 3 A ZONA CO.IN.OR., VALENZA, 15048, ALESSANDRIA, ITALY",Manufacturing,Bulgari Gioielli Spa
583,"VIA LORENTEGGIO 255, MILANO, 20152, MILANO, ITALY",Retail Trade,Pellegrini Spa
584,"VIA APPIA, CISTERNA DI LATINA, 04012, LATINA, ITALY",Manufacturing,C.s.i. - Compagnia Surgelati Italiana Spa
585,"VIA STELLA ROSA 48/50, BARANZATE, 20021, MILANO, ITALY","Finance, Insurance, and Real Estate",E.m.s. Euro Management Services Spa
586,"VIA STELLA ROSA 48/50, BARANZATE, 20021, MILANO, ITALY","Finance, Insurance, and Real Estate",Euro Group Spa
587,"STRADA PARAVERA 16, AOSTA, 11100, AOSTA, ITALY",Manufacturing,Cogne Acciai Speciali Spa
588,"VIA PIETRO BORSIERI 2/A, ROMA, 00195, ROMA, ITALY","Finance, Insurance, and Real Estate",Ghella Group Srl
589,"VIA LEONARDO BISTOLFI 35, MILANO, 20134, MILANO, ITALY","Finance, Insurance, and Real Estate",Industrie De Nora Spa
590,"VIA LEONARDO BISTOLFI 35, MILANO, 20134, MILANO, ITALY","Finance, Insurance, and Real Estate",Federico De Nora Spa
591,"VIA STAZIONE 119, VALLE LOMELLINA, 27020, PAVIA, ITALY",Wholesale Trade,Euricom Spa
592,"VIA DEL LAVORO 10, GRANAROLO DELL'EMILIA, 40057, BOLOGNA, ITALY","Finance, Insurance, and Real Estate",Pag Italy Srl
593,"VIA FERDINANDO MAGELLANO 27, REGGIOLO, 42046, REGGIO EMILIA, ITALY",Manufacturing,Comer Industries Spa
594,"VIALE DEL SAGITTARIO 5, MODENA, 41126, MODENA, ITALY","Finance, Insurance, and Real Estate",Eagles Oak Srl
595,"VIA BENIGNO CRESPI 57, MILANO, 20159, MILANO, ITALY",Wholesale Trade,Yara Italia Spa
596,"VIA FELTRINA CENTRO 16, MONTEBELLUNA, 31044, TREVISO, ITALY",Manufacturing,Geox Spa
597,"VIA CALCINARO 2861, CESENA, 47521, FORLI'-CESENA, ITALY",Manufacturing,Technogym Spa
598,"VIA GIUSEPPE RIPAMONTI 89, MILANO, 20141, MILANO, ITALY",Manufacturing,Cargill Srl
599,"VIA POLONIA 30/33, MODENA, 41122, MODENA, ITALY",Wholesale Trade,Caseifici Granterre Spa
600,"CORSO D'ITALIA 35/B, ROMA, 00198, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",D'amico Societa' Di Navigazione Spa
601,"VIA VILLA MINELLI 1, PONZANO VENETO, 31050, TREVISO, ITALY",Wholesale Trade,Benetton Group Srl
602,"VIA CLEMENTINO BONFIGLIOLI 1, CALDERARA DI RENO, 40012, BOLOGNA, ITALY",Manufacturing,Bonfiglioli Riduttori Spa
603,"VIA ARMANDO DIAZ 248, SAN ZENO NAVIGLIO, 25010, BRESCIA, ITALY",Manufacturing,Duferco Travi E Profilati Spa
604,"PIAZZA LINA BO BARDI 3, MILANO, 20124, MILANO, ITALY",Services,Bnp Paribas 3 Step It
605,"VIA MEUCCIO RUINI 74/L, REGGIO EMILIA, 42124, REGGIO EMILIA, ITALY","Finance, Insurance, and Real Estate",Yama Spa
606,"VIA MONZA 7/A, VIMERCATE, 20871, MONZA E BRIANZA, ITALY",Services,S.a.p. Italia Sistemi Applicazioni Prodotti In Data Processing Spa
607,"VIA GRANAROLO 175/2, FAENZA, 48018, RAVENNA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Cura Gas & Power Spa
608,"VIA RENZO GANDOLFO 1, CUNEO, 12100, CUNEO, ITALY",Services,Fai Service Soc Coop
609,"VIA ENRICO FERMI 4, BAGNOLO IN PIANO, 42011, REGGIO EMILIA, ITALY",Manufacturing,Emak Spa
610,"VIA ALDO MORO 31, BOMPORTO, 41030, MODENA, ITALY",Wholesale Trade,Havi Logistics Srl
611,"VIA PIONCA 13, PIANIGA, 30030, VENEZIA, ITALY",Retail Trade,F.lli Lando Spa
612,"VIA VITTORIO VENETO 74, ROMA, 00187, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Ep Produzione Centrale Livorno Ferraris Spa
613,"VIA DELLA MERCEDE 11, ROMA, 00187, ROMA, ITALY","Finance, Insurance, and Real Estate",Gruppo Illy Spa
614,"VIA COSIMO CANOVETTI 13, BRESCIA, 25128, BRESCIA, ITALY","Finance, Insurance, and Real Estate",O.r.i. Martin Holding Srl
615,"VIA COSIMO CANOVETTI 13, BRESCIA, 25128, BRESCIA, ITALY",Manufacturing,O.r.i. Martin Acciaieria E Ferriera Di Brescia Spa
616,"VIA GIUSEPPE BOVINI 43, RAVENNA, 48123, RAVENNA, ITALY",Manufacturing,G.ecol. Cables Srl
617,"VIA DELL'INDUSTRIA 22, CONSELICE, 48017, RAVENNA, ITALY",Services,Eq Cables Spa
618,"VIA DI SOTTORIPA 7/13, GENOVA, 16124, GENOVA, ITALY",Wholesale Trade,Duferco Commerciale Spa
619,"CONTRADA PARASACCHIELLO SNC, MELFI, 85025, POTENZA, ITALY",Wholesale Trade,Sg Spa
620,"VIA DELLE INDUSTRIE 9, FILAGO, 24040, BERGAMO, ITALY",Manufacturing,Covestro Srl
621,"VIA DELLE FIERE SNC, MATERA, 75100, MATERA, ITALY",Wholesale Trade,V.i.m. Srl Vendita Ingrosso Medicinali
622,"VIA OLGETTINA 60, MILANO, 20132, MILANO, ITALY",Services,Ospedale San Raffaele Srl
623,"VIA VENETO 3/5, SCHIO, 36015, VICENZA, ITALY",Retail Trade,Lorenzo Ceccato Spa
624,"VIA GERENZANO 58, CASTELLANZA, 21053, VARESE, ITALY",Manufacturing,Tenova Spa
625,"VIA PISANA 336, SCANDICCI, 50018, FIRENZE, ITALY",Manufacturing,Balenciaga Logistica Srl
626,"VIA PROVINA 3, TRENTO, 38123, TRENTO, ITALY",Wholesale Trade,Unifarm Spa Unione Farmacisti Trentino Alto Adige
627,"PIAZZA DELLA REPUBBLICA 32, MILANO, 20124, MILANO, ITALY","Finance, Insurance, and Real Estate",Pluto (italia) Spa
628,"VIA DEL PERLAR 2, VERONA, 37135, VERONA, ITALY","Finance, Insurance, and Real Estate",Eg Holding Spa
629,"VIA UBERTO VISCONTI DI MODRONE 2, MILANO, 20122, MILANO, ITALY","Finance, Insurance, and Real Estate",Sofid Spa
630,"STRADA STATALE 29, DEGO, 17058, SAVONA, ITALY",Manufacturing,Verallia Italia Spa
631,"VIA LODI 11, ARZAGO D'ADDA, 24040, BERGAMO, ITALY",Wholesale Trade,Clerici Spa
632,"VIA VICENZA 3, BRESCIA, 25125, BRESCIA, ITALY","Finance, Insurance, and Real Estate",Fintrade Holding Spa
633,"PIAZZALE OSTIENSE 2, ROMA, 00154, ROMA, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Areti Spa
634,"VIA GIAN ANTONIO AMADEO 59, MILANO, 20134, MILANO, ITALY",Manufacturing,Liquigas Spa
635,"VIA MONALDO CALARI 10, ZOLA PREDOSA, 40069, BOLOGNA, ITALY",Manufacturing,Faac Spa
636,"VIA MONALDO CALARI 10, ZOLA PREDOSA, 40069, BOLOGNA, ITALY","Finance, Insurance, and Real Estate",Faac Partecipazioni Industriali Srl
637,"VIA AMALFI 6, VOLPIANO, 10088, TORINO, ITALY",Manufacturing,Agn Energia Spa
638,"LARGO EDOARDO BULGHERONI 1, INDUNO OLONA, 21056, VARESE, ITALY",Manufacturing,Lindt & Sprungli Spa
639,"CORSO ORBASSANO 367, TORINO, 10137, TORINO, ITALY","Finance, Insurance, and Real Estate",Fca Bank Spa
640,"VIA DEI TORNABUONI 2, FIRENZE, 50123, FIRENZE, ITALY",Manufacturing,Salvatore Ferragamo Spa
641,"VIA DELLA MADONNA 1, LALLIO, 24040, BERGAMO, ITALY",Wholesale Trade,Zanetti Spa
642,"PIAZZALE LUIGI CADORNA 14, MILANO, 20123, MILANO, ITALY","Transportation, Communications, Electric, Gas, and Sanitary Services",Fnm Spa
643,"VIA MARIO FANTIN 1/3, BOLOGNA, 40131, BOLOGNA, ITALY",Services,Crif Spa
644,"CIS 8, NOLA, 80035, NAPOLI, ITALY",Wholesale Trade,Guacci Spa
645,"VIA ALBERTO FALCK 4/16, SESTO SAN GIOVANNI, 20099, MILANO, ITALY","Finance, Insurance, and Real Estate",Falck Renewables Spa
646,"VIA LINFANO 9, ARCO, 38062, TRENTO, ITALY",Manufacturing,Aquafil Spa
