,company_founded,company_location,company_industry,company_name,company_employees,company_website
276,['1929'],['Port Morseby'],['Petroleum'],Oil Search,[],['www.oilsearch.com']
277,['30\xa0January 1924'],"['Moscow', 'Russia']",['Motion pictures'],Kinostudiya MosFilm,"['1,500']","['en', '.mosfilm', '.ru']"
278,"['March 26, 1999']","['Saint Petersburg', 'Russia']","['Animation', 'Motion pictures']",Melnitsa Animation Studio,['325 (2014)'],"['www', '.melnitsa', '.com']"
279,['May 2008'],"['Miami', 'Florida', 'United States']","['Animation', 'Motion pictures']",Animaccord Animation Studio,[],"['www', '.animaccord', '.com']"
280,['2005'],"['Moscow', 'Russia']",['Motion pictures'],Non-Stop Production,[],['nonstopkino.ru']
281,['2007'],"['\n', '\n']","['Motion pictures', 'Television']",Wizart Animation,['200 (2021)'],"['www', '.wizartanimation', '.com']"
282,['March\xa02003'],"['Saint Petersburg', 'Russia']","['Animation', 'Motion pictures']","Computer Animation Studio, Petersburg",['150+'],"['skapetersburg', '.ru']"
283,['1885'],"['Melbourne', 'Victoria, Australia']","['Metals', 'Mining']",BHP Group Limited,"['80,000 (2021)', '[2]']","['www', '.bhp', '.com']"
284,"['Otago', 'New Zealand']","['Wellington', 'Wellington', 'New Zealand', 'Wellington', 'New Zealand']","['Conglomerate', 'Natural gas wholesaling', 'LPG wholesaling', 'Electricity generation', 'Electricity retailing', 'Natural gas retailing']",The Todd Corporation Limited,['450'],"['ToddCorporation.com', 'www.toddenergy.co.nz']"
285,['26\xa0July\xa01954'],['Perth'],['Oil and gas'],Woodside Energy Group Ltd,"['â5,000 (2022)']","['www', '.woodside', '.com', '.au']"
286,['18 March 1954'],"['Flinders Street, Adelaide', 'South Australia']",['Energy'],Santos Ltd.,"['2,190 (2018)']","['santos', '.com']"
287,"['February 2000, but parts of the business date from the 20th century']","['Barangaroo', 'Sydney', 'New South Wales']",['Energy'],Origin Energy Ltd,[],"['originenergy', '.com', '.au']"
288,['1997-2018'],"['Perth, Australia']",['Energy'],AWE Limited,[],['https://mitsuiepmidwest.com.au']
289,['1986'],"['Spring', 'Texas', 'United States']",['Petroleum industry'],XTO Energy Inc.,[],['xtoenergy.com']
290,['2007'],"['\n', '\n']","['Motion pictures', 'Television']",Wizart Animation,['200 (2021)'],"['www', '.wizartanimation', '.com']"
291,['1985'],['Houston'],['Petroleum industry'],"VAALCO Energy, Inc.","['117, including 80 in ', 'Gabon', ' (2021)']","['www', '.vaalco', '.com']"
292,"['January\xa01, 1980']","['San Antonio', 'Texas', 'United States']",['Oil and gas'],Valero Energy Corporation,"['10,015 ', '(January 2018)', '[1]']","['www', '.valero', '.com']"
293,['1947'],['Lodz'],['licensing'],Se-ma-for,[],"['www', '.se-ma-for', '.com']"
294,"['May\xa08,\xa01993', '1997']","['ABS-CBN Broadcasting Center', 'ABS-CBN Broadcasting Center', 'Diliman', 'Quezon City', 'Philippines']","['Broadcast media', 'Television production']",Star Cinema,[],"['starcinema', '.abs-cbn', '.com']"
295,"['Quezon City', 'Philippines']","['Pasig', 'Philippines']",['Motion pictures'],Viva Films,[],[]
296,['1937'],"['Granada Street', 'New Manila', 'Quezon City', 'Philippines']",['Motion pictures'],"Sampaguita Pictures, Inc.",[],[]
297,"['1929', ' (as Arkansas Western Gas Company)']","['Spring, Texas']",['Petroleum industry'],Southwestern Energy Company,['938 (2020)'],"['www', '.swn', '.com']"
298,['1908'],['Denver'],['Petroleum industry'],SM Energy Company,['506 (2021)'],"['sm-energy', '.com']"
299,['U.S.'],"['Houston', 'Texas', 'United States']",['Oil and gas'],"Shell USA, Inc.","['12,100+ (2021)', '[3]']","['www', '.shell', '.us']"
300,['2006'],"[' ', 'SandRidge Center', 'Oklahoma City', ', ', 'Oklahoma', 'United States']",['Petroleum industry'],"SandRidge Energy, Inc.",['101 (2021)'],"['sandridgeenergy', '.com']"
301,['1938'],"['Quezon City, Metro Manila']",[],LVN Pictures,[],[]
302,['1989'],"['Quezon City', 'Philippines']","['Theatrical distribution', 'film production', 'marketing']",OctoArts Films,[],[]
303,['1989'],['Norway'],[],SF Norge,[],[]
304,['1976'],"['Fort Worth, Texas']",['Petroleum industry'],Range Resources Corporation,['527 (2021)'],"['rangeresources', '.com']"
305,['1995'],"['GMA Network Center', 'EDSA', 'Timog Avenue', 'Quezon City', 'Philippines']","['Film distribution', 'Film production', 'Television production']",GMA Pictures,[],"['gmanetwork', '.com', '/films']"
306,"['November 1, 2001']","['Oslo', 'Norway']",['Entertainment'],Storm Studios,[],[]
307,['1997'],"['Irving, Texas']",['Petroleum industry'],Pioneer Natural Resources Company,"['1,932 (2021)']","['pxd', '.com']"
308,"['Calgary', 'Alberta']","['Denver, Colorado']",['Petroleum industry'],Ovintiv Inc.,"['1,713 (2021)']","['www', '.ovintiv', '.com']"
309,['June\xa01909'],"['Houston, Texas']",['Chemical industry'],Occidental Petroleum Corporation,"[' 11,618 (', 'Fiscal Year Ended December 31, 2021', ')', '[1]']","['oxy', '.com']"
310,['1944'],"['Houston, Texas', 'United States']",['Petroleum industry'],Murphy Oil Corporation,['696 (2021)'],"['www', '.murphyoilcorp', '.com']"
311,"['1887', ' as ""The Ohio Oil Company""']","['Marathon Oil Tower', 'Houston']",['Petroleum'],Marathon Oil Corporation,"['1,672 (2020)']",['marathonoil.com']
312,['2006'],"['Tulsa, Oklahoma']",['Petroleum industry'],"Laredo Petroleum, Inc.",['257 (2020)'],"['laredopetro', '.com']"
313,"['February\xa08, 1940']","['Wichita, Kansas']",['Conglomerate'],"Koch Industries, Inc.","['120,000 (2022)', '[4]']","['www', '.kochind', '.com']"
314,"['14 February 1987', ' (as an independent film company)', '17 March 2003', ' (as an incorporated company)']",['Wellington'],['Motion picture'],"WingNut Films, Inc.",[],[]
315,['1973'],"['Southlake, Texas']",['Petroleum industry'],"HKN, Inc.",['18'],"['www', '.hkninc', '.com']"
316,[],[],[],New Zealand Film Commission,[],[]
317,"['Kuala Lumpur', 'Malaysia']","['Bukit Jalil', 'Kuala Lumpur', 'Malaysia']",[],KRU Studios,[],"['www', '.krustudios', '.com']"
