,company_ceo,company_name,company_employees
339,Francis deSouza,Illumina,"7,800"
340,Michael Strugl,Verbund Ag,"2,980"
341,Tim S McKay,Canadian Natural Resources,"9,709"
342,,"Yihai Kerry Arawana Holdings Co., Ltd",
343,George Oliver,Johnson Controls International,"101,000"
344,Victor G. Dodig,Canadian Imperial Bank Of Commerce,"45,282"
345,Rolf Habben Jansen,Hapag-lloyd,"14,100"
346,Toshiaki Higashihara,Hitachi,"380,714"
347,Steven van Rijswijk,Ing Group,"57,000"
348,,Shanxi Xinghuacun Fen Wine Factory,"9,276"
349,Reshma Kewalramani,Vertex Pharmaceuticals,"3,900"
350,Stelleo Passos Tolda,Mercadolibre,"15,500"
351,,East Money Information,"4,553"
352,Kasper Rorsted,Adidas,"62,285"
353,Steve Hasker,Thomson Reuters Corporation,"45,000"
354,Stefan Bird,Pacificorp,"5,300"
355,Hana Al Rostamani,First Abu Dhabi Bank,"5,451"
356,Todd J Vasos,Dollar General Corporation,"158,000"
357,,Open Joint Stock Company Omz,
358,Christopher M. Crane,Exelon Corporation,"31,518"
359,Paul Schuler ,Sika Ag,"24,848"
360,Shuntaro Furukawa,Nintendo,"6,574"
361,David Schwimmer,London Stock Exchange Group,"24,158"
362,Tadashi Yanai,Fast Retailing,"57,727"
363,,Great Wall Motor Company,"63,174"
364,Carlo Messina,Intesa Sanpaolo,"105,615"
365,Thierry Delaporte,Wipro,"231,671"
366,Anthony Capuano,Marriott International,"120,000"
367,,Luzhou Laojiao,"3,228"
368,Olivier Andries,Safran,"76,800"
369,Werner Baumann,Bayer,"99,538"
370,Yang-wei Liu,Hon Hai Precision Industry,"601,276"
371,John Pettigrew,National Grid Transco,"23,683"
372,XIE Yonglin,Ping An Bank,"38,600"
373,Jens Bjorn Andersen,Dsv Panalpina,"56,000"
374,,Ikea,"211,000"
375,,S.f. Holding,"121,925"
376,Robert Gamgort,Keurig Dr Pepper,"27,500"
377,David Simon,Simon Property Group,"3,300"
378,Tatsuro Kosaka,Chugai Pharmaceutical,"7,664"
379,Robin Li,Baidu,"41,000"
380,Abdulla Mubarak Al-Khalifa,Qatar National Bank,"28,000"
381,Hiroshi Suzuki,Hoya Corporation,"37,245"
382,,Biontech Se,"1,941"
383,Ken Xie,Fortinet,"9,700"
384,Thomas P Gibbons,The Bank Of New York Mellon Corporation,"49,100"
385,Gopal Vittal,Bharti Airtel,"17,917"
386,,Luxshare Precision Industry,"137,284"
387,Claudio Descalzi,Eni S.p.a.,"31,495"
388,Terrence Curtin,Te Connectivity,"89,000"
389,Nikesh Arora,Palo Alto Networks,"10,473"
390,Rangarajan Raghuram,Vmware,"34,000"
391,,Wanhua Chemical Group,"15,392"
392,Chi-Foon Chan,Synopsys,"16,361"
393,Tsuneo Murata,Murata Manufacturing,"75,184"
394,Toshihiro Mibe,Honda Motor,"211,374"
395,Charlie Nunn,Lloyds Banking Group,"61,576"
396,,Jiangsu Hengrui Medicine,"24,431"
397,Deqi Ren,Bank Of Communications,"87,828"
398,A. James Teague,Enterprise Products Partners,"7,130"
399,Eric Yuan,Zoom Video Communications,"6,269"
400,Toshio Kagami,Oriental Land,"8,034"
401,"['Frank Vang-Jensen', 'Casper von Koskull']",Nordea Bank Abp,"28,051"
