,company_ceo,company_name,company_employees
535,,Xpeng Motors,"3,676"
536,,Inner Mongolia Yili Industrial Group,"59,052"
537,Michele Buck,The Hershey Company,"18,990"
538,Sumit Roy,Realty Income Corporation,371
539,David Layton,Partners Group Holding Ag,"1,519"
540,Ludwig N. Hantson,Alexion Pharmaceuticals,"3,837"
541,Juan Ricardo Luciano,Archer-daniels-midland Company,"41,000"
542,Tatsuo Yasunaga,Mitsui & Co.,"44,509"
543,Ryuichi Isaka,Seven & I Holdings,"138,808"
544,Peter Vanacker,Neste Oyj,"4,825"
545,Steven J. Kean,Kinder Morgan,"10,529"
546,Roy Gori,Manulife Financial Corporation,"37,000"
547,Helen Wong,Oversea-chinese Banking Corporation,"30,538"
548,Yu Liang,China Vanke,"140,565"
549,,Nutrien,"23,100"
550,Greg C. Gantt,Old Dominion Freight Line,"23,663"
551,Kevin Murphy,Ferguson,"34,352"
552,Dr. Detlef Trefzger,Kuehne + Nagel International Ag,"78,249"
553,Benoit Bazin,Compagnie De Saint-gobain,"167,552"
554,Kong Qingwei,China Pacific Insurance Group (cpic),"111,247"
555,Joachim Kreuzburg,Sartorius Stedim Biotech,"9,016"
556,Mark S. Little,Suncor Energy,"12,591"
557,Aiman Ezzat,Capgemini Se,"289,501"
558,,Jiangsu Yanghe Brewery Joint-stock,"15,026"
559,Milton Maluhy Filho,Itau Unibanco Holding,"96,500"
560,Chen Hong,Saic Motor Corporation,"204,815"
561,Jeffrey Stoops,Sba Communications Corporation,"1,596"
562,Sanjiv Bajaj,Bajaj Finserv,"26,969"
563,,"Beijing-shanghai High-speed Railway Co.,ltd.",37
564,Jeff Green,The Trade Desk,"1,967"
565,Johan Thijs,Kbc Group Nv,"33,916"
566,Blake D. Moret,Rockwell Automation,"24,500"
567,,Will Semiconductor,"33,300"
568,Brian S. Tyler,Mckesson Corporation,"76,000"
569,Shankh Mitra,Welltower,464
570,Dong Mingzhu,Gree Electric Appliances,"88,846"
571,Bob Frenzel,Xcel Energy,"11,321"
572,Andrew Wilson,Electronic Arts,"11,000"
573,,Zhangzhou Pientzehuang Pharmaceutical. Ltd,
574,,Anta Sports Products,"41,000"
575,Borje Ekholm,Ericsson,"101,322"
576,,Kuaishou Technolocy,
577,Alison Rose,Natwest Group,"59,900"
578,Gao Yingxin,Boc Hong Kong,"14,915"
579,Dimitri de Vreeze,Dsm,"23,127"
580,Brendan Horgan,Ashtead Group,"19,386"
581,Henrik Ehrnrooth,Kone Oyj,"61,380"
582,,Foxconn Industrial Internet,"803,126"
583,Roger C Hochschild,Discover Financial Services,"196,159"
584,Jean-Bernard Levy,Edf (electricite De France),"20,477"
585,,Innogy Se,"34,523"
586,Barbara Rentler,Ross Stores,"93,700"
587,Louisa Cheang Wai Wan,Hang Seng Bank,"10,000"
588,,Bloomberg Lp,"24,315"
589,Ronald P. O'Hanley,State Street Corporation,"39,000"
590,W. Nicholas Howley,Transdigm Group,"13,300"
591,Andreas Fibig,International Flavors & Fragrances,"3,400"
592,Yeo Min-soo,Kakao,"2,837"
593,Jan Craps,Budweiser Brewing Company Apac,"28,546"
594,Catherine MacGregor,Engie,"171,000"
595,Masatsugu Nagato,Japan Post Bank,"245,472"
596,Hafize Gaye Erkan,First Republic Bank,"6,295"
597,Jay Chaudhry,Zscaler,"3,153"
598,Kjerstin Braathen,Dnb Asa,"9,200"
599,,Zijin Mining Group Company,"36,860"
600,James Cracchiolo,Ameriprise Financial,"12,000"
601,Andrea Orcel,Unicredit,"90,836"
602,Eddy Pirard,Japan Tobacco,"58,300"
603,S N Subrahmanyan,Larsen & Toubro,"45,268"
604,Carsten Knobel,Henkel Ag,"52,600"
605,Greg C. Garland,Phillips 66,"14,000"
606,,Constellation Software,"20,500"
607,Sanjiv Puri,Itc,"36,500"
608,Thomas J. Wilson,Allstate Corporation,"54,700"
609,,Otis Worldwide Corporation,"70,000"
610,Jun Young-hyun,Samsung Sdi,"11,107"
611,Andy Penn,Telstra Corporation,"27,015"
612,John Riccitiello,Unity Software Inc.,"5,245"
613,Stefan Widing,Sandvik Ab,"37,125"
614,"James C. Collins, Jr.",Corteva,"21,000"
615,Rodney McMullen,Kroger,"465,000"
616,Patrick Kaltenbach,Mettler-toledo International,"17,800"
617,Shar Dubey,Match Group,"2,540"
618,Peter Gassner,Veeva Systems,"4,506"
619,Pekka Lundmark,Nokia Corporation,"87,927"
620,Kristian Villumsen,Coloplast A/s,"12,568"
621,Michael J. Farrell,Resmed,"7,970"
622,Octavio de Lazari Junior,Banco Bradesco,"89,575"
623,Timothy J Naughton,Avalonbay Communities,"3,090"
624,Daniel L. Florness,Fastenal Company,"20,507"
625,Leonhard Birnbaum,E.on Se,"78,126"
626,Raymond Kwok,Sun Hung Kai Properties,"39,500"
627,Wee Ee Cheong,United Overseas Bank,"24,346"
628,Frans Muller,Ahold Delhaize,"232,000"
629,Robert E. Sulentic,Cbre Group,"105,000"
630,Alan S. Armstrong,Williams Companies,"4,783"
631,Tatsufumi Sakai,Mizuho Financial Group,"69,801"
632,Michel Vounatsos,Biogen,"9,610"
633,Tobias Martinez Gimeno,Cellnex Telecom,"2,877"
634,J. Patrick Gallagher Jr,Arthur J. Gallagher,"39,000"
635,Bin Wu,Anhui Conch Cement Company,"47,486"
636,,Keysight Technologies,"14,300"
637,Matthew Prince,Cloudflare,"2,440"
638,,Techtronic Industries Company,"51,426"
639,,Grupo Mexico,"30,263"
640,Greg D. Carmichael,Fifth Third Bancorp,"19,112"
641,Joel S Marcus,Alexandria Real Estate Equities,559
642,Tom Linebarger,Cummins,"59,900"
643,Mihn Tsao,Formosa Petrochemical Corporation,"13,977"
644,Mark J. Parrell,Equity Residential,"2,400"
645,,Sydney Airport,596
646,Jacob Kam,Mtr Corporation,"34,209"
647,Ralph Izzo,Public Service Enterprise Group,"12,684"
648,David V. Auld,D.r. Horton,"11,788"
649,Worthing F Jackman,Waste Connections,"18,933"
650,Scott G. Stephenson,Verisk Analytics,"9,367"
651,,Sany Heavy Industry Co. Ltd,"24,586"
652,Donnie D. King,Tyson Foods,"137,000"
653,Tang Yong,China Resources Land,"38,087"
654,David A. Hager,Devon Energy Corporation,"1,600"
655,Joseph W. Gorder,Valero Energy Corporation,"9,964"
656,Alex Karp,Palantir Technologies,"2,733"
657,Philippe Donnet,Assicurazioni Generali,"72,644"
658,Frans van Houten,Philips,"81,592"
659,Nico Delvaux,Assa Abloy Ab (publ),"48,000"
660,Chi-Mau Sheih,Chunghwa Telecom,"32,218"
661,Mark Begor,Equifax,"12,700"
662,Bob van Dijk,Naspers,"28,445"
663,Leon Topalian,Nucor Corporation,"28,800"
664,Gregory Leith Goodman,Goodman Group,"1,000"
665,Ernest Garcia III,Carvana,"10,400"
666,,Aier Eye Hospital Group,"36,000"
667,Dean A. Connor,Sun Life Financial,"24,589"
668,Auttapol Rerkpiboon,Ptt Public Company,"10,875"
669,David Zapico,Ametek,"18,500"
670,Bhavesh V. Patel,Lyondellbasell Industries,"19,200"
671,Bradford Banducci,Woolworths Group,"215,000"
672,Jan Jenisch,Holcim Ltd,"67,409"
673,Milan Galik,Interactive Brokers Group,"2,571"
674,Mark Bristow,Barrick Gold Corporation,"21,869"
675,Ming Chung Daniel,Fubon Financial Holding,"45,174"
676,Laurel Hurd,Nasdaq,"5,814"
677,Jay Adair,Copart,"8,600"
678,Wendell Weeks,Corning,"61,200"
679,Preston Feight,Paccar,"28,500"
680,Mingqiang BI,China Citic Bank Corporation,"59,258"
681,Lawson Whiting,Brown-forman Corporation,"4,700"
682,Thomas Caulfield,Globalfoundries Inc.,"15,000"
683,Darren Entwistle,Telus Corporation,"90,800"
684,,Nari Technology,"8,211"
685,Luis Maroto,Amadeus It Group,"19,000"
686,Kenichi Ayukawa,Maruti Suzuki India,"15,945"
687,Hirotaka Hara,Fujitsu,"129,071"
688,Helena Helmersson,H & M Hennes & Mauritz Ab,"153,000"
689,,Instagram,450
690,Hans Dieter Potsch,Porsche Automobil Holding Se,916
691,Guillaume Daniellot,Straumann Holding Ag,"7,340"
692,Susan Hardwick,American Water Works Company,"6,400"
693,Arkadiy Dobkin,Epam Systems,"58,824"
694,Ajei Gopal,Ansys,"5,100"
695,,Yunnan Energy New Material,
696,Michael A. Witynski,Dollar Tree,"199,327"
697,Parag Agarwal,Twitter,"7,500"
698,Lakshmi Mittal,Arcelormittal,"167,743"
699,,Mplx Lp,"5,836"
700,Florent Menegaux,Michelin,"117,500"
701,Francisco Miguel Reynes Massanet,Naturgy Energy Group,"10,540"
702,Zhang Zhichao,China Overseas Land And Investment,"6,200"
703,,Longfor Group Holdings,"26,316"
704,Jonathan M. Jaffe,Lennar Corporation,"10,753"
705,Hiroya Masuda,Japan Post Holdings,"245,472"
706,,Sunny Optical Technology (group) Company,"24,374"
707,,Societe Generale,"152,050"
708,,Eve Energy Co. Ltd,
709,Natascha Viljoen,Anglo American Platinum,"69,000"
710,Scott J. Lauber,Wec Energy Group,"6,938"
711,,Boe Technology Group Company,"65,017"
712,,Li Auto Inc,"4,181"
713,Joseph R. Nolan Jr.,Eversource Energy,"9,227"
714,James M. Loree,Stanley Black & Decker,"71,300"
715,Stanley Ching,Citic,"135,304"
716,Shuichi Ishibashi,Bridgestone Corporation,"138,036"
717,Vicki Hollub,Occidental Petroleum Corporation,"11,678"
718,Dieter Weisskopf,Chocoladefabriken Lindt & Sprungli Ag,"13,500"
719,Benoit Coquart,Legrand Sa,"36,726"
720,Adam Foroughi,Applovin Corp,"1,594"
721,Ken Murphy,Tesco,"367,321"
722,Shigetaka Komoris,Fujifilm Holdings Corporation,"73,275"
723,Devin W. Stockfish,Weyerhaeuser Company,"9,372"
724,,Poly Developments And Holdings Group,"56,811"
725,John McAvoy,Consolidated Edison,"14,071"
726,Theodor Weimer,Deutsche Borse,"7,238"
727,Johan Torgeby,Skandinaviska Enskilda Banken Ab (publ.),"15,500"
728,Todd McKinnon,Okta,"5,030"
729,C K Venkataraman,Titan Company,"7,235"
730,Christian Mumenthaler,Swiss Re,"13,189"
731,Mikhail Lomtadze,Kaspi Bank Joint Stock Company,
732,,Tongwei,"23,635"
733,Yoshihiko Hatanaka,Astellas Pharma,"15,883"
734,Gerteric Lindquist,Nibe Industrier Ab (publ),"18,700"
735,Vneet S Jaain,Adani Green Energy,"1,340"
736,,Sungrow Power Supply,
737,Aki Tomaru,M3 Inc,"7,127"
738,Amitabh Chaudhry,Axis Bank,"78,300"
739,,Semiconductor Manufacturing International Corporation,
740,Helena Hedblom,Epiroc Ab (publ),"13,840"
741,Song Ho-Sung,Kia Motors Corporation,"52,488"
742,Ashish Dwivedi,Ultratech Cement,"22,000"
743,,Terumo Corporation,"26,438"
744,John A Hayes,Ball Corporation,"24,300"
745,Jianjun Zhang,Picc Group (people's Insurance Company (group) Of China),"198,951"
746,Thomas E. Long,Energy Transfer Lp,"12,558"
747,,Rongsheng Petrochemical,"13,962"
748,Christian Sewing,Deutsche Bank,"84,512"
749,,Cathay Financial Holding,"57,848"
750,,Chongqing Zhifei Biological Products,"2,972"
751,Dev Ittycheria,Mongodb,"2,539"
752,Ririek Adriansyah,Pt Telekomunikasi Indonesia Tbk,"24,272"
753,Christian Buhl,Geberit Ag,"11,908"
754,Carl Hess,Willis Towers Watson Public Company,"46,600"
755,Urs Schaeppi,Swisscom Ag,"19,062"
756,Eric M. Green,West Pharmaceutical Services,"10,065"
757,Scott Charlton,Transurban Group,"9,000"
758,Robert Glen Goldstein,Las Vegas Sands Corp,"44,700"
759,,Hong Kong And China Gas Company,"2,096"
760,Henrik Andersen,Vestas Wind Systems A/s,"29,378"
761,Yasuo Takeuchi,Olympus Corporation,"31,653"
762,Jay Farner,Rocket Companies,"26,000"
763,Stephane Richard,Orange S.a,"142,150"
764,Paul A. Mahon,Great-west Lifeco,"24,500"
765,Anders Gustafsson,Zebra Technologies Corporation,"9,800"
766,Andrew C. Florance,Costar Group,"4,742"
767,Steve Rendle,V.f. Corporation,"40,000"
768,Eduardo Padilla Silva,Fomento Economico Mexicanob. De C.v. (femsa),"320,618"
769,Nancy McKinstry,Wolters Kluwer,"19,169"
770,Takeshi Sugiyama,Mitsubishi Electric Corporation,"146,518"
771,Hassane El-Khoury,On Semiconductor Corporation,"33,300"
772,Pierce H. Norton II,Oneok,"2,847"
773,Yo Honma,Ntt Data Corporation,"139,677"
774,Torbjorn Magnusson,Sampo Oyj,"9,813"
775,Joseph Margolis,Extra Space Storage,"4,013"
776,,Mercadona,"93,300"
777,Kuan Moon Yuen,Singapore Telecommunications (singtel),"22,892"
778,Martin Carlesund,Evolution Gaming Group Ab (publ),"5,054"
779,Thomas Oetterli,Schindler Holding Ag,"66,674"
780,,Shenzhen Inovance Technology,"11,216"
781,Patricia K. Poppe,Pacific Gas & Electric Corporation,"26,000"
782,Felipe Bayon,Ecopetrol,"15,000"
783,Jack A Fusco,Cheniere Energy,"1,550"
784,J. Thomas Hill,Vulcan Materials Company,"11,912"
785,J Kent Masters,Albemarle Corporation,"6,000"
786,,Goertek,"87,346"
787,Alex Pourbaix,Cenovus Energy,"2,413"
788,Stewart Butterfield,Slack Technologies,"2,545"
789,Steven H. Collis,Amerisourcebergen Corporation,"42,000"
790,Masatoshi Kimata,Kubota Corporation,"43,293"
791,Patrick J Ottensmeyer,Kansas City Southern,"7,082"
792,,Qinghai Salt Lake Industry,
793,,Shenzhou International Group Holdings,"85,700"
794,Peter M Kern,Expedia Group,"14,800"
795,Stan Hung,United Microelectronics Corporation,"19,285"
796,,Peugeot,"209,000"
797,Edmond Scanlon,Kerry Group,"26,000"
798,Adam H Schechter,Laboratory Corporation Of America Holdings,"75,000"
799,,Ganfeng Lithium,"5,500"
800,Michael G. O'Grady,Northern Trust Corporation,"25,000"
801,Christine A Leahy,Cdw Corporation,"9,900"
802,Fahad bin Hussein Al-Sudairi,Saudi Electricity Company,"37,769"
803,Peter Jackson,Flutter Entertainment,"14,802"
804,David T. Feinberg,Cerner Corporation,"26,400"
805,Stephan Sturm,Fresenius Se,"311,269"
806,,Webank,
807,Jim Snee,Hormel Foods Corporation,"20,000"
808,Zhang Jinliang,China Everbright Bank Company,"46,316"
809,Galen G. Weston,Loblaw Companies,"200,000"
810,Brad Corson,Imperial Oil,"5,800"
811,C. Howard Nye,Martin Marietta Materials,"8,700"
812,Bryan C. Hanson,Zimmer Biomet Holdings,"20,000"
813,Greg Maffei,Liberty Broadband Corporation,"1,900"
814,John B. Hess,Hess Corporation,"1,545"
815,Robert E Jordan,Southwest Airlines,"55,100"
816,,China International Capital Corporation,"9,372"
817,Dolf van den Brink,Heineken Holding,"84,000"
818,Dan Springer,Docusign,"5,630"
819,,Evergreen Marine Corporation (taiwan),
820,Markus Krebber,Rwe,"19,498"
821,Ed Bastian,Delta Air Lines,"83,000"
822,Kazuhiro Tsuga,Panasonic Corporation,"259,385"
823,,Hengli Petrochemical,"26,506"
824,,Baoshan Iron & Steel,"52,323"
825,,Flipkart,"30,000"
826,Ping Zheng,Delta Electronics,"80,000"
827,Kirti Ganorkar,Sun Pharmaceutical Industries,"36,000"
828,Laurent Ferreira,National Bank Of Canada,"26,920"
829,,Industries Qatar,"5,700"
830,Mosaed Al Ohali,Saudi Arabian Mining Company (ma'aden),"8,000"
831,Michael O'Leary,Ryanair Holdings,"15,016"
832,Suresh Manglani,Adani Total Gas Limited,
833,,Jd Digits,
834,Richard J. Tobin,Dover Corporation,"23,000"
835,Brian D. Doubles,Synchrony Financial,"18,000"
836,D. James Bidzos,Verisign,902
837,Damian Paul Gammell,Coca-cola Europacific Partners Plc,"33,200"
838,,Allegro,"2,100"
839,Subhash Kumar,Ongc,"30,105"
840,,Airports Of Thailand,"7,230"
841,Michael Rapino,Live Nation Entertainment,"10,500"
842,Mr. Li,Ck Hutchison Holdings,"172,907"
843,Daniel Julien,Teleperformance Se,"383,233"
844,Donald G. Macpherson,W.w. Grainger,"22,700"
845,,Adani Transmissions,"11,980"
846,,Smoore International Holdings,
847,Hisahiro Koketsu,Toyota Industries Corporation,"66,478"
848,Markus Rauramo,Fortum Oyj,"19,933"
849,Clay B Siegall,Seagen,"2,675"
850,Hal Lawton,Tractor Supply Company,"46,000"
851,,Crrc Corporation,"164,177"
852,Seetarama Kotagiri,Magna International,"154,000"
853,Suresh Narayanan,Nestle India,"7,600"
854,Mark E Jagiela,Teradyne,"5,900"
855,Jim Lico,Fortive Corporation,"18,000"
856,Antoine Frerot,Veolia Environnement,"171,450"
857,Matthew Farrell,Church & Dwight,"5,100"
858,,Apa Group,"1,800"
859,Magdalena Martullo-Blocher,Ems-chemie Holding Ag,"2,653"
860,Lawrence E. Kurzius,Mccormick & Company,"14,000"
861,Jose Maria Alvarez-Pallete Lopez,Telefonica Sa,"114,042"
862,Makoto Inoue,Orix Corporation,"33,153"
863,Fujio Mitarai,Canon,"25,377"
864,,Li Ning Company,"3,625"
865,Masaaki Tanaka,Nippon Paint Holdings,"27,318"
866,Liam Griffin,Skyworks Solutions,"11,300"
867,Arnold W. Donald,Carnival Corporation,"30,000"
868,Dallas B. Tanner,Invitation Homes,"1,240"
869,Zheng Wanchun,China Minsheng Banking,"59,262"
870,,Clp Holdings,"7,959"
871,H Eric Bolton Jr,Mid-america Apartment Communities,"2,429"
872,Nigel Wilson,Legal & General Group,"13,876"
873,,Geely Automobile Holdings,"38,000"
874,,Adani Enterprises,"2,042"
875,,Kingspan Group,"15,500"
876,Takahisa Takahara,Unicharm Corporation,"16,665"
877,,Lasertec Corporation,529
878,Clifton A. Pemble,Garmin,"18,700"
879,Hiroto Takeuchi,Central Japan Railway Company,"29,603"
880,Stephen D Steinour,Huntington Bancshares,"25,693"
881,Eugene A. Hall,Gartner,"16,600"
882,Corie Barry,Best Buy,"102,000"
883,Tony Staffieri,Rogers Communications,"23,500"
884,Pedro J. Pizarro,Edison International,"13,003"
885,Dave Mosley,Seagate Technology,"40,000"
886,Fabio Schvartsman,Klabin,"7,000"
887,Jennifer C. Witz,Sirius Xm Holdings,"5,590"
888,,Nan Ya Plastics Corporation,"11,697"
889,,China Resources Beer (holdings) Company,"27,000"
890,Maurici Lucena Betriu,Aena S.m.e,"8,771"
891,Susan Lloyd-Hurwitz,Mirvac Group,"1,414"
892,Thomas Gottstein,Credit Suisse Group,"48,770"
893,Yozo Shimano,Shimano,"12,244"
894,,Ke Holdings Inc.,"119,658"
895,Cees 't Hart,Carlsberg A/s,"40,010"
896,Yoshihiro Hasebe,Kao Corporation,"33,603"
897,Beth E. Mooney,Keycorp,"18,180"
898,Christopher J. Swift,Hartford Financial Services Group,"18,500"
899,,Sanan Optoelectronics,
900,Paul J. Brink,Franco-nevada Corporation,38
901,,Naura Technology Group,
902,,Capital Group,"7,500"
903,Vicente Reynal,Ingersoll-rand (ireland),"15,900"
904,Johan Hjertonsson,Investment Ab Latour (publ),
905,Frankie Ng,Sgs Sa,"94,000"
906,Anthony Wood,Roku,"3,000"
907,Niklas Oestberg,Delivery Hero Se,"22,000"
908,,Formosa Plastics Corporation,"2,900"
909,,Gf Securities,"12,307"
910,,Wingtech Technology,"22,467"
911,Philip Jansen,Bt Group,"99,700"
912,,Dai-ichi Life Holdings,736
913,Hidetoshi Shibata,Renesas Electronics Corporation,"20,962"
914,,China Northern Rare Earth (group) High-tech,
915,John M. Turner Jr.,Regions Financial Corporation,"19,406"
916,,Bae Systems,"90,500"
917,Gonzalo Gortazar Rotaeche,Caixabank,"36,597"
918,Yamini Rangan,Hubspot,"5,895"
919,Abdul Farid Alias,Malayan Banking Berhad,"45,000"
920,Jan G. J. van de Winkel,Genmab A/s,781
921,Josh Silverman,Etsy,"1,400"
922,Dan Carestio,Steris,"13,000"
923,,Scottish Mortgage Investment Trust,
924,Isam Jasem Al Sager,National Bank Of Kuwait,"6,970"
925,Matthew John Flannery,United Rentals,"20,400"
926,Steven E. Strah,Firstenergy,"12,395"
927,Hiroyuki Ogawa,Komatsu,"61,564"
928,Alistair Phillips-Davies,Sse Plc,"12,489"
929,,Hannover Ruck Se,"3,073"
930,,Aecc Aviation Power,
931,,Citizens Financial Group,"17,463"
932,Abdulwahab Iesa Alrushood,Kuwait Finance House,"15,000"
933,Jerry Norcia,Dte Energy Company,"10,300"
934,,Jd Health International Inc,"10,000"
935,,Beigene,"5,300"
936,Jeff Miller,Halliburton Company,"40,000"
937,,China Mengniu Dairy Company,"43,397"
938,Frank Mastiaux,Enbw Energie Baden-wurttemberg Ag,"23,293"
939,Jose D. Bogas Galvez,Endesa,"9,591"
940,Vincent Warnery,Beiersdorf,"20,465"
941,Charles Brindamour,Intact Financial Corporation,"16,000"
942,,Zte Corporation,"72,584"
943,,Pt Bank Mandiri (persero) Tbk,"38,247"
944,Hisashi Ietsugu,Sysmex Corporation,"8,200"
945,,Ck Asset Holdings,"58,000"
946,,Weichai Power,"45,361"
947,Arnd Kaldowski,Sonova Holding Ag,"14,508"
948,Shayne Nelson,Emirates Nbd,"14,000"
949,Robert M. Bakish,Viacom Cbs,"22,965"
950,,Zto Express (cayman),
951,Warner L Baxter,Ameren Corporation,"9,116"
952,Gary A. Shiffman,Sun Communities,"5,961"
953,Rene F Jones,M&t Bank Corporation,"17,569"
954,,Huatai Securities,"10,516"
955,Jens Henriksson,Swedbank Ab (publ),"17,373"
956,Frederic DyBuncio,Sm Investments Corporation,"157,288"
957,,Guotai Junan Securities,"15,198"
958,Prahlad Singh,Perkinelmer,"15,000"
959,James (Jim) Connor,Duke Realty Corporation,340
960,Steve Cahillane,Kellogg Company,"31,000"
961,Michael J Schall,Essex Property Trust,"1,757"
962,Paul Reilly,Raymond James Financial,"15,000"
963,Leo P. Denault,Entergy Corporation,"12,369"
964,Magnus Groth,Essity Ab (publ),"46,000"
965,Francis Lui,Galaxy Entertainment Group,"22,000"
966,Alan Pullinger,Firstrand,"49,233"
967,Vincent Sorgi,Ppl Corporation,"5,607"
968,,Power Corporation Of Canada,"29,900"
969,Lorenzo Simonelli,Baker Hughes Company,"54,000"
970,,Shanghai International Port (group),"14,068"
971,Timothy P Walbert,Horizon Therapeutics Public Company,"1,395"
972,Tetsuro Tomita,East Japan Railway Company,"71,812"
973,,Wellcare Health Plans,"14,000"
974,,Kyocera Corporation,"78,490"
975,,China Railway Group,"290,000"
976,Michael Stubblefield,Avantor,"13,500"
977,Steve Cutler,Icon Public Company,"37,960"
978,Max Levchin,"Affirm Holdings, Inc.","1,641"
979,,Epic Games,"6,825"
980,Tareq A. Al-Sadhan,Riyad Bank,"6,147"
981,Travis D. Stice,Diamondback Energy,870
982,C. P. Gurnani,Tech Mahindra,"125,236"
983,George G. Weston,Associated British Foods,"128,000"
984,Carina Akerstrom,Svenska Handelsbanken Ab (publ),"22,000"
985,Linda Rendle,The Clorox Company,"9,000"
986,Amanda Blanc,Aviva,"31,700"
987,Shingo Konomoto,Nomura Research Institute,"13,430"
988,Antonio Neri,Hewlett Packard Enterprise Company,"60,400"
989,Joseph J. DePaolo,Signature Bank,"1,854"
990,Ashutosh Raghuvanshi,Fortis,"8,961"
991,Harry Schmelzer Jr.,Weg,"33,342"
992,Ester Baiget,Novozymes A/s,"6,527"
993,Ignacio Madridejos Fernandez,Ferrovial,"18,515"
994,,Segro,355
995,Sigve Brekke,Telenor Asa,"18,000"
996,Masahiko Uotani,Shiseido Company,"39,035"
997,Pavel Sergeevich Grachev,Pjsc Polyus,"20,000"
998,,Continental Ag,"236,386"
999,,China Merchants Securities,"9,230"
1000,Scott W. Wine,Cnh Industrial,"64,016"
1001,Jack Fusco,Cheniere Energy Partners,"1,550"
1002,,Haitong Securities,"10,837"
1003,Prashant Jain,Jsw Steel,"13,128"
1004,Jeffrey S Musser,Expeditors International Of Washington,"19,000"
1005,,Didi Global Inc.,"15,914"
1006,,Tata Motors,"78,906"
1007,,Cgn Power,"18,264"
1008,,"Trina Solar Co., Ltd",
1009,Yoon Ho-young,Kakaobank Corp.,952
1010,Gilles G. Martin,Eurofins Scientific Se,"55,000"
1011,,Edp Renovaveis,"1,566"
