,company_ceo,company_name
268,Ross McEwan,NATIONAL AUSTRALIA BANK
269,,BASF SE
270,Soren Skou,A.P. MOLLER - MAERSK A/S
271,Roberto Castello Branco,PETROLEO BRASILEIRO - PETROBRAS
272,,ALDI
273,Takashi Tanaka,KDDI CORPORATION
274,,LONGI GREEN ENERGY TECHNOLOGY
275,Mario Greco,ZURICH INSURANCE GROUP AG
276,James C. Fish Jr,WASTE MANAGEMENT
277,,NONGFU SPRING
278,Craig Arnold,EATON CORPORATION
279,Ding Lei,NETEASE
280,Koji Arima,DENSO CORPORATION
281,Ralph Hamers,UBS GROUP AG
282,Evan Spiegel,SNAP INC
283,"Doyle Mitchell, Jr.",INDUSTRIAL BANK
284,Daniel Hajj Aboumrad,AMERICA MOVIL
285,Jahja Setiaatmadja,PT BANK CENTRAL ASIA TBK
286,Seifi Ghasemi,AIR PRODUCTS AND CHEMICALS
287,Christophe Beck,ECOLAB
288,Richard Fairbank,CAPITAL ONE FINANCIAL CORPORATION
289,Jun Seki,NIDEC CORPORATION
290,Masanori Togawa,DAIKIN INDUSTRIES
291,Jack Dorsey,BLOCK INC
292,Piyush Gupta,DBS GROUP HOLDINGS
293,,WHATSAPP
294,Yang Jiping,CHINA SHENHUA ENERGY COMPANY
295,Robert M. Blue,DOMINION ENERGY
296,Leonard Schleifer,REGENERON PHARMACEUTICALS
297,Carlos Tavares,STELLANTIS N.V
298,Tricia Griffith,PROGRESSIVE CORPORATION
299,,CHINA TOURISM GROUP DUTY FREE CORPORATION LIMITED
300,Rick Tsai,MEDIATEK
301,Richard P. Wallace,KLA CORPORATION
302,Kathy Warden,NORTHROP GRUMMAN CORPORATION
303,BENEDETTO VIGNA,FERRARI
304,Guilherme Loureiro,WAL-MART DE MEXICO
305,Chano Fernandez,WORKDAY
306,,SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS
307,Joseph D. Russell Jr,PUBLIC STORAGE
308,Sashidhar Jagdishan,HDFC
309,Gregory C. Case,AON
310,Laxman Narasimhan,RECKITT BENCKISER GROUP
311,Sanjiv Bajaj,BAJAJ FINANCE
312,Richard Adkerson,FREEPORT-MCMORAN
313,Jose Antonio Alvarez,BANCO SANTANDER
314,Brian Armstrong,"COINBASE GLOBAL, INC"
315,Martin Lundstedt,AB VOLVO
316,Xavier Huillard,VINCI
317,Alexandre Ricard,PERNOD RICARD
318,Michael F. Mahoney,BOSTON SCIENTIFIC CORPORATION
319,Olayan M. Alwetaid,SAUDI TELECOM COMPANY (STC)
320,DUNCAN WANBLAD,ANGLO AMERICAN
321,Reinhard Ploss,INFINEON TECHNOLOGIES AG
322,Vagit Alekperov,PJSC LUKOIL
323,Masayoshi Son,SOFTBANK CORP.
324,Phebe Novakovic,GENERAL DYNAMICS CORPORATION
325,Peter Kenneth Allen,SCENTRE GROUP
326,Kurt Sievers Richard L. Clemmer,NXP SEMICONDUCTORS
327,Vinay M Tonse,STATE BANK OF INDIA
328,Erik Engstrom,RELX
329,Lei Jun,XIAOMI CORPORATION
330,Shemara Wikramanayake,MACQUARIE GROUP
331,Francis deSouza,ILLUMINA
332,Andrew Anagnost,AUTODESK
333,Pierre-Alain Ruffieux,LONZA GROUP
334,Shayne Elliott,ANZ BANKING GROUP
335,Ezra Yacob,EOG RESOURCES
336,Jie Yang,CHINA TELECOM CORPORATION
337,Peter King,WESTPAC BANKING CORPORATION
338,Lal Karsanbhai,EMERSON ELECTRIC COMPANY
339,Michel A. Khalaf,METLIFE
340,Reshma Kewalramani,VERTEX PHARMACEUTICALS
341,,SHANXI XINGHUACUN FEN WINE FACTORY
342,Steven van Rijswijk,ING GROUP
343,Toshiaki Higashihara,HITACHI
344,Rolf Habben Jansen,HAPAG-LLOYD
345,Victor G. Dodig,CANADIAN IMPERIAL BANK OF COMMERCE
346,George Oliver,JOHNSON CONTROLS INTERNATIONAL
347,,"YIHAI KERRY ARAWANA HOLDINGS CO., LTD"
348,Tim S McKay,CANADIAN NATURAL RESOURCES
349,Michael Strugl,VERBUND AG
350,Paul Schuler,SIKA AG
351,Christopher M. Crane,EXELON CORPORATION
352,,OPEN JOINT STOCK COMPANY OMZ
353,Todd J Vasos,DOLLAR GENERAL CORPORATION
354,Hana Al Rostamani,FIRST ABU DHABI BANK
355,Stefan Bird,PACIFICORP
356,Steve Hasker,THOMSON REUTERS CORPORATION
357,Kasper Rorsted,ADIDAS
358,,EAST MONEY INFORMATION
359,Stelleo Passos Tolda,MERCADOLIBRE
360,Shuntaro Furukawa,NINTENDO
361,Werner Baumann,BAYER
362,Olivier Andries,SAFRAN
363,,LUZHOU LAOJIAO
364,Anthony Capuano,MARRIOTT INTERNATIONAL
365,Thierry Delaporte,WIPRO
366,Carlo Messina,INTESA SANPAOLO
