,company_location,company_industry,company_revenue,company_name,company_employees,company_website
2950,"1223 Lower Water St., B-6th Floor, P.O. Box 910, Halifax, Nova Scotia, B3J3S8",Power,$10.9B,Emera Inc,"7,140",www.emera.com
2951,"No.21, Kuanggong Road, Pingdingshan, Henan, 467099",Metals and Mining,$3.8B,Pingdingshan Tianan Coal Mining Company Ltd,"65,281",www.pmta.com.cn
2952,"2801 80th St, Kenosha, Wisconsin, 53143",Industrial Goods and Machinery,$12.8B,Snap-on Inc,"12,800",www.snapon.com
2953,"Wattana, Bangkok, 10110",Financial Services,$7.5B,Krung Thai Bank PCL,"18,937",krungthai.com/en/personal
2954,"Piekstraat 2, Rotterdam, 3071EL",Construction,,Hunter Douglas NV,"23,398",www.hunterdouglasgroup.com
2955,"911 Panorama Trail S, Rochester, New York, 14625-0397",Business and Consumer Services,$42.3B,Paychex Inc,"16,000",www.paychex.com
2956,"Suite 200, 126 York Street, Ottawa, Ontario, K1N5T5",Technology and Communications,$49.3B,Shopify Inc,"10,000",www.shopify.com
2957,"1049 Camino Dos Rios, Thousand Oaks, California, 91360",Technology and Communications,$19.0B,Teledyne Technologies Inc,"14,500",www.teledyne.com
2958,"Av. Brigadeiro Faria Lima, 4.100 / 15 Andar, Itaim Bibi, Sao Paulo, 04.538-132",Energy and Utilities,$6.3B,Cosan SA,"41,763",ir.cosan.com.br
2959,"8-7, Kakuda-Cho, Kita-Ku, Osaka-Shi, 530-8350",Retailing,$1.2B,H2O Retailing Corp,"9,856",www.h2o-retailing.co.jp
2960,"2 Rue Du Fort Bourbon, Luxembourg, 1249",Technology and Communications,$2.5B,Millicom International Cellular SA,"20,687",www.millicom.com
2961,"1615 Wynkoop St, Denver, Colorado, 80202-1106",Energy and Utilities,$8.6B,Antero Resources Corp,554,www.anteroresources.com
2962,"Sickla Industrivag 19, Nacka, 13154",Industrial Goods and Machinery,$24.0B,Epiroc AB,"16,217",www.epirocgroup.com
2963,"1600 Tysons Blvd, #1400, Attn: Treasury Dept., Mclean, Virginia, 22102",Business and Consumer Services,$4.5B,Maximus Inc,"35,800",www.maximus.com
2964,"100 Crescent Center, Pkwy Ste 800, Tucker, Georgia, 30084-7062",Construction,$2.2B,GMS Inc,"5,475",www.gms.com
2965,"Piazzale Ostiense, 2, Roma, 00154",Power,$3.3B,Acea SpA,"9,674",www.gruppo.acea.it
2966,"15901 Olden St, Sylmar, California, 91342-1051",Construction,$436.1M,Tutor Perini Corp,"7,800",www.tutorperini.com
2967,"7628 Thorndike Road, Greensboro, North Carolina, 27409",Technology and Communications,$10.2B,Qorvo Inc,"8,900",www.qorvo.com
2968,"Suite 700, 545 E John Carpenter Freeway, Irving, Texas, 75062-3932",Media,$6.9B,Nexstar Media Group Inc,"11,160",www.nexstar.tv
2969,"Pl 11 / Keilasatama 5, Espoo, 02151",Industrial Goods and Machinery,$5.7B,Valmet Corp,"17,511",www.valmet.com
2970,"Kamiyacho Trust Tower, 4-1-1, Toranomon, Minato-Ku, Tokyo, 105-6950",Technology and Communications,$5.8B,Itochu Techno-Solutions Corp,"9,291",www.ctc-g.co.jp
2971,"Calle Morelli 139, Lima",Retailing,$3.6B,Inretail Peru Corp,"58,305",www.inretail.pe
2972,"Piazza Salimbeni, 3, Siena, 53100",Financial Services,$2.8B,Banca Monte dei Paschi di Siena SpA,"21,079",www.mps.it
2973,"Flat 15 Ketton Court, Ketton Close, Luton, London, Greater London, LU20QZ",Technology and Communications,,IHS Markit Ltd,"16,000",ihsmarkit.com
2974,"32 Insadong 7-gil, Jongno-gu, Seoul, 04320",Construction,,SK Ecoplant Co Ltd,"4,854",www.skec.com
