,company_ceo,company_country,company_founded,company_industry,company_name,company_rank
5504,Not found,China,Not found,"['Industries', 'Logistics']",CTS INTERNATIONAL LOGISTICS CORPORATION,5227
5505,Not found,Israel,1993,"['Industries', 'Construction', 'Infrastructure']",ELECTRA,5230
5506,Not found,USA,Not found,"['Energy', 'Oil and Gas', 'Utilities', 'Gas Utilities', 'Infrastructure']",TC PIPELINES LP,5231
5507,Not found,Hong Kong,1988,"['Consumer Cyclical', 'Footwear']",YUE YUEN INDUSTRIAL (HOLDINGS),5233
5508,Not found,France,1850,"['Basic Materials', 'Chemicals']",ROBERTET SA,5225
5509,Not found,USA,2012,"['Technology', 'Solar Power Devices']",SUNNOVA ENERGY INTERNATIONAL,5232
5510,Not found,Taiwan,2003,"['Consumer Cyclical', 'Automobile', 'Automobile Parts']",YULON NISSAN MOTOR CO. LTD,5241
5511,Not found,China,Not found,"['Consumer Cyclical', 'Textile', 'Leather Products', 'Internet or Mobile App Based Business']",NANJI E-COMMERCE CO. LTD,5239
5512,Not found,China,Not found,"['Technology', 'Technology Hardware and Instruments']",NAVTECH,5238
5513,Not found,USA,1971,"['Healthcare', 'Medical Equipment', 'HealthCare Products']",HAEMONETICS CORPORATION,5235
5514,Not found,USA,1998,"['Healthcare', 'HealthCare Products', 'Biotechnology', 'Biopharmaceutical']",PTC THERAPEUTICS,5237
5515,Not found,Bermuda,2017,"['Communication Services', 'Media', 'Advertising', 'Consumer Services', 'Television Services', 'Telecom']",LIBERTY LATIN AMERICA,5234
5516,Not found,Japan,1943,"['Basic Materials', 'Paper and Pulp']",DAIO PAPER CORPORATION,5236
5517,Not found,Australia,1934,"['Basic Materials', 'Construction Materials', 'Mining', 'Metals']",BRICKWORKS,5242
5518,Not found,Canada,1953,"['Energy', 'Oil and Gas', 'Oil and Gas Equipment and Services', 'Oil Refining']",GIBSON ENERGY,5243
5519,Not found,China,Not found,"['Basic Materials', 'Chemicals']",FUJIAN KUNCAI MATERIAL TECHNOLOGY,5240
5520,Not found,Israel,1983,"['Technology', 'Electronics', 'Consumer Electronics']",MAYTRONICS,5244
5521,Not found,Hong Kong,2009,"['Communication Services', 'Entertainment', 'Technology', 'Internet or Mobile App Based Business']",ALIBABA PICTURES GROUP,5252
5522,Not found,China,Not found,"['Retail', 'eCommerce', 'Internet or Mobile App Based Business']",DADA NEXUS LTD,5248
5523,Not found,South Korea,1973,"['Financial Services', 'Stock Markets, Trading, Capital Markets']",MERITZ SECURITIES,5251
5524,Not found,Taiwan,1964,"['Consumer Cyclical', 'Packaging', 'Packaging Materials', 'Glass Products']",TAIWAN GLASS IND,5250
5525,Not found,Indonesia,1996,"['Energy', 'Coal Mining', 'Mining']",PT DIAN SWASTATIKA SENTOSA TBK,5247
5526,Not found,Canada,1968,"['Financial Services', 'Insurance']",E-L FINANCIAL CORPORATION,5253
5527,Not found,Brazil,2001,"['Utilities', 'Electric Utilities', 'Electricity Generation', 'Power Generation', 'Coal Mining', 'Mining', 'Natural Gas Generation']",ENEVA,5249
5528,Not found,China,Not found,"['Financial Services', 'Banking Services']",BANK OF GANSU,5245
5529,Not found,India,1988,['Financial Services'],POONAWALLA FINCORP LIMITED,5246
5530,Not found,USA,1946,"['Consumer Defensive', 'Retail', 'Super Markets']",GROCERY OUTLET HOLDING,5254
5531,Not found,USA,2013,"['Healthcare', 'Biotechnology']","RECURSION PHARMACEUTICALS, INC.",5259
5532,Not found,South Korea,Not found,"['Financial Services', 'Insurance']",ORANGE LIFE INSURANCE,5263
5533,Not found,USA,2019,"['Financial Services', 'Asset Management']",BLACKROCK SCIENCE AND TECHNOLOGY TRUST II,5261
5534,Not found,China,Not found,"['Basic Materials', 'Mining']","SICHUAN ANNING IRON AND TITANIUM CO.,LTD.",5260
5535,Not found,China,Not found,"['Consumer Cyclical', 'Automobile', 'Automobile Parts']",NINGBO JIFENG AUTO PARTS,5257
5536,Not found,Not found,1986,Not found,"ARHAUS, INC.",5258
5537,Not found,Switzerland,1862,"['Industries', 'Tools and Equipment', 'Security Systems and Solutions', 'Engineering Products']",DORMAKABA HOLDING AG,5262
5538,Not found,Japan,1935,"['Consumer Cyclical', 'Apparels and Accessories', 'Retail', 'Sports Goods', 'Leisure']",DESCENTE,5256
5539,Not found,USA,2014,"['Consumer Cyclical', 'Capital Goods', 'Sports Goods', 'Entertainment', 'Leisure']",VISTA OUTDOOR,5255
5540,Not found,India,1970,"['Consumer Defensive', 'Food and Beverage', 'Beverages', 'Food Products', 'FMCG', 'Package Foods']",HATSUN AGRO PRODUCT,5269
5541,Not found,China,Not found,"['Industries', 'Industry Machinery']",LEO GROUP,5266
5542,Not found,UK,1855,['Real Estate'],SAVILLS,5264
5543,Not found,India,1973,"['Healthcare', 'HealthCare Products', 'Pharmaceutical']",AJANTA PHARMA,5263
5544,Not found,USA,2006,"['Healthcare', 'Pharmaceutical']",PACIRA BIOSCIENCES,5267
5545,Not found,USA,1984,"['Consumer Defensive', 'HealthCare Products', 'Marketing Services', 'FMCG']",NU SKIN ENTERPRISES,5268
5546,Not found,India,1992,"['Communication Services', 'Media', 'Advertising', 'Television Services', 'Broadcasting']",SUN TV NETWORK,5265
5547,Not found,Norway,1999,"['Industries', 'Logistics']",WALLENIUS WILHELMSEN ASA,5272
5548,Not found,China,Not found,"['Industries', 'Shipping']",TANGSHAN PORT GROUP,5271
5549,Not found,France,1958,"['Energy', 'Oil and Gas']",TECHNIP ENERGIES N.V.,5270
5550,Not found,China,Not found,"['Communication Services', 'Internet or Mobile App Based Business']",VISUAL CHINA GROUP,5273
5551,Not found,China,Not found,"['Basic Materials', 'Pharmaceutical', 'HealthCare Products', 'Chemicals']",YANAN BICON PHARMACEUTICAL LISTED COMPANY,5277
5552,Not found,Taiwan,1918,"['Industries', 'Machinery Manufacturing', 'Metal Fabrication Products', 'Refrigerators', 'Home Appliances', 'Industry Machinery', 'Electronics', 'Kitchen Appliances', 'Transportation', 'Conglomerate']",TATUNG,5282
