,company_ipo_year,company_country,company_ceo,company_founded,company_revenue,company_name
820,,Qatar,,2003.0,26.69 Billion USD,INDUSTRIES QATAR
821,,Canada,Laurent Ferreira,1859.0,26.66 Billion USD,NATIONAL BANK OF CANADA
822,,India,Kirti Ganorkar,1983.0,26.64 Billion USD,SUN PHARMACEUTICAL INDUSTRIES
823,,Taiwan,Ping Zheng,1971.0,26.61 Billion USD,DELTA ELECTRONICS
824,,India,,2007.0,,FLIPKART
825,,China,,2000.0,26.59 Billion USD,BAOSHAN IRON & STEEL
826,,China,,1999.0,26.58 Billion USD,HENGLI PETROCHEMICAL
827,,Japan,Kazuhiro Tsuga,1918.0,26.57 Billion USD,PANASONIC CORPORATION
828,,USA,Ed Bastian,1925.0,26.57 Billion USD,DELTA AIR LINES
829,,Germany,Markus Krebber,1898.0,26.49 Billion USD,RWE
830,,India,Subhash Kumar,1956.0,26.47 Billion USD,ONGC
831,,Poland,,1999.0,23.31 Billion USD,ALLEGRO
832,,UK,Damian Paul Gammell,2016.0,26.44 Billion USD,COCA-COLA EUROPACIFIC PARTNERS PLC
833,1998.0,USA,D. James Bidzos,1995.0,26.40 Billion USD,VERISIGN
834,2014.0,USA,Brian D. Doubles,2003.0,26.38 Billion USD,SYNCHRONY FINANCIAL
835,,USA,Richard J. Tobin,1955.0,26.34 Billion USD,DOVER CORPORATION
836,,China,,,,JD DIGITS
837,,India,Suresh Manglani,2004.0,26.34 Billion USD,ADANI TOTAL GAS LIMITED
838,1997.0,Ireland,Michael O'Leary,1984.0,26.29 Billion USD,RYANAIR HOLDINGS
839,,Saudi Arabia,Mosaed Al Ohali,1997.0,26.29 Billion USD,SAUDI ARABIAN MINING COMPANY (MA'ADEN)
840,2001.0,USA,Clay B Siegall,1997.0,26.28 Billion USD,SEAGEN
841,,Finland,Markus Rauramo,1998.0,26.20 Billion USD,FORTUM OYJ
842,,Japan,Hisahiro Koketsu,1926.0,26.10 Billion USD,TOYOTA INDUSTRIES CORPORATION
843,,China,,2009.0,26.09 Billion USD,SMOORE INTERNATIONAL HOLDINGS
844,,India,,2015.0,26.06 Billion USD,ADANI TRANSMISSIONS
845,,USA,Donald G. Macpherson,1927.0,26.05 Billion USD,W.W. GRAINGER
846,,France,Daniel Julien,1978.0,26.04 Billion USD,TELEPERFORMANCE SE
847,,Hong Kong,Mr. Li,2014.0,26.03 Billion USD,CK HUTCHISON HOLDINGS
848,,USA,Michael Rapino,1996.0,26.03 Billion USD,LIVE NATION ENTERTAINMENT
849,,Thailand,,1979.0,25.99 Billion USD,AIRPORTS OF THAILAND
850,1994.0,USA,Hal Lawton,1938.0,25.99 Billion USD,TRACTOR SUPPLY COMPANY
851,,Switzerland,Magdalena Martullo-Blocher,1936.0,25.92 Billion USD,EMS-CHEMIE HOLDING AG
852,,Australia,,2000.0,25.90 Billion USD,APA GROUP
853,,USA,Matthew Farrell,1846.0,25.90 Billion USD,CHURCH & DWIGHT
854,,France,Antoine Frerot,1853.0,25.90 Billion USD,VEOLIA ENVIRONNEMENT
855,2016.0,USA,Jim Lico,2016.0,25.80 Billion USD,FORTIVE CORPORATION
856,,USA,Mark E Jagiela,1960.0,25.80 Billion USD,TERADYNE
857,,India,Suresh Narayanan,1959.0,25.74 Billion USD,NESTLE INDIA
858,,Canada,Seetarama Kotagiri,1957.0,25.73 Billion USD,MAGNA INTERNATIONAL
