ceo,country,employees,founded,headquarters,industry,market_cap,name,sector,stock
 Mr. Francois Lionel Poirier,Canada," 7,017",,"Calgary,AB,Canada",Oil & Gas Midstream,$56.77 B,TC Energy Corporation,Energy,TRP
 Mr. Saeed  Bin Mohammed A. Al-Ghamdi,Saudi Arabia," 16,113",,"Riyadh,SaudiArabia",Banks,$56.89 B,The Saudi National Bank,Financials,1180
,United Kingdom," 16,000", 1959,"London,UnitedKingdom",Consulting Services,$56.94 B,IHS Markit Ltd.,Industrials,INFO
 Mr. Lei  Chen,China," 7,986",,"Shanghai,China",Internet Retail,$57.09 B,Pinduoduo Inc.,Consumer Discretionary,PDD
 Mr. Anthony G. Capuano Jr.,United States," 120,000"," March 5, 1927","Bethesda,MD,UnitedStates",Lodging,$57.18 B,"Marriott International, Inc.",Consumer Discretionary,MAR
 Mr. Victor G. Dodig,Canada," 46,030"," June 1, 1961","Toronto,ON,Canada",Banks,$57.20 B,Canadian Imperial Bank of Commerce,Financials,CM
 Mr. Takehiko  Kakiuchi,Japan,,,"Tokyo,Japan",Conglomerates,$57.23 B,Mitsubishi Corp,Industrials,8058
,China," 6,058",,"Foshan,China",Packaged Foods,$57.40 B,Foshan Haitian Flavouring and Food Company Ltd,Consumer Staples,603288
 Mr. A. James Teague,United States," 7,000", 1968,"Houston,TX,UnitedStates",Oil & Gas Midstream,$57.43 B,Enterprise Products Partners L.P.,Energy,EPD
 Mr. Milton Maluhy Filho,Brazil," 99,600",,"SÃ£oPaulo,SP,Brazil",Banks,$57.45 B,Itaú Unibanco Holding SA,Financials,ITUB
 Mr. Matthew J. Murphy,United States," 6,695",,"Wilmington,DE,UnitedStates",Semiconductors,$57.62 B,"Marvell Technology, Inc.",Technology,9MW
 Mr. Olivier  Le Peuch,United States," 92,000", 1926,"Houston,TX,UnitedStates",Oil & Gas Equipment & Services,$57.63 B,Schlumberger Limited,Energy,SLB
 Mr. Alexandre  Ricard,France," 18,500",,"Paris,France",Beverages—Wineries & Distilleries,$57.75 B,Pernod Ricard SA,Consumer Staples,RI
 Mr. Seifollah  Ghasemi,United States," 20,000", 1940,"Allentown,PA,UnitedStates",Chemicals,$57.82 B,"Air Products and Chemicals, Inc.",Basic Materials,APD
 Mr. Matthew J. Murphy,Bermuda," 6,695", 1995,"Hamilton,Bermuda",                                        Semiconductors                                    ,$58.36 B,Marvell Technology Group Ltd.,                                        Technology                                    ,MRVL
 Mr. Erik  Engstrom,United Kingdom," 33,500", 1993,"London,UnitedKingdom",Publishing,$58.53 B,RELX plc,Communication Services,REL
 Mr. Aneel  Bhusri,United States," 15,200", March 2005,"Pleasanton,CA,UnitedStates",Software—Application,$58.70 B,"Workday, Inc.",Technology,WDAY
 Mr. Xavier M. P. Huillard,France," 218,569",,"Rueil-Malmaison,France",Engineering & Construction,$59.01 B,Vinci SA,Industrials,DG
,China," 11,833",,"Shenzhen,China",Medical Devices,$59.26 B,Shenzhen Mindray Bio-Medical Electronics Co. Ltd,Healthcare,300760
 Mr. Oscar  Gonzalez Rocha,United States," 14,700", 1952,"Phoenix,AZ,UnitedStates",Copper,$59.46 B,Southern Copper Corporation,Basic Materials,SCCO
,Saudi Arabia,,,"Riyadh,SaudiArabia",Telecom Services,$59.47 B,Saudi Telecom Company,Communication Services,7010
,China," 20,773",,"Hangzhou,China",Beverages—Non-Alcoholic,$59.50 B,Nongfu Spring Co. Ltd,Consumer Staples,9633
,United Kingdom," 43,000", 1814,"Slough,UnitedKingdom",Household & Personal Products,$59.53 B,Reckitt Benckiser Group plc,Consumer Staples,RKT
" Mr. Shayne Cary Elliott B.Com, B.Com.",Australia," 39,684", 1 October 1970,"Melbourne,VIC,Australia",Banks,$59.55 B,Australia and New Zealand Banking Group Limited,Financials,ANZ
 Mr. Nikesh  Arora C.F.A.,United States," 11,527", 2005,"SantaClara,CA,UnitedStates",Software—Infrastructure,$59.65 B,"Palo Alto Networks, Inc.",Technology,PANW
 Mr. Surendralal Lanca Karsanbhai,United States," 86,700", 1890,"SaintLouis,MO,UnitedStates",Specialty Industrial Machinery,$59.66 B,Emerson Electric Co.,Industrials,EMR
 Mr. Richard D. Fairbank,United States," 50,767"," July 21, 1994","McLean,VA,UnitedStates",Credit Services,$59.67 B,Capital One Financial Corporation,Financials,COF
 Mr. Alejandro Nicolas  Aguzin,Hong Kong," 2,146",,"Central,HongKong",Financial Data & Stock Exchanges,$59.75 B,Hong Kong Exchanges & Clearing Ltd,Financials,0388
 Mr. Lei  Ding,China," 18,129", June 1997,"Hangzhou,China",Internet Content & Information,$59.76 B,"NetEase, Inc.",Communication Services,9999
 Dr. Frank  Appel,Germany," 548,042",,"Bonn,Germany",Integrated Freight & Logistics,$59.80 B,Deutsche Post AG,Industrials,DPWA
 Mr. Jack  Dorsey,United States," 8,521"," February 14, 2009","SanFrancisco,CA,UnitedStates",Software—Infrastructure,$59.95 B,"Block, Inc.",Technology,SQ
 Mr. Kenneth A. Seitz,Canada," 23,500",,"Saskatoon,SK,Canada",Agricultural Inputs,$60.06 B,Nutrien Ltd.,Basic Materials,NTR
 Mr. Keqiang  Xu,Hong Kong," 18,151", August 1999,"Central,HongKong",Oil & Gas E&P,$60.19 B,CNOOC Limited,Energy,0883
 Mr. Mats  RahmstrÃ¶m,Sweden," 42,862",,"Nacka,Sweden",Specialty Industrial Machinery,$60.97 B,Atlas Copco AB,Industrials,ATCO.A
