categories,change(1day),change(1year),code,country,marketcap,name,rank,sharePrice
"['Videogames', 'Tech', 'Entertainment']",-1.34%,-56.63%,EMBRAC-B.ST,Sweden,$5.78 B,Embracer Group,2113,$4.58
[],-0.94%,51.83%,CMC,USA,$5.78 B,Commercial Metals Company,2114,$49.27
"['Banks', 'Financialservices']",-1.99%,-29.41%,2887.TW,Taiwan,$5.78 B,Taishin Financial Holdings,2115,$0.48
['Insurance'],-0.30%,18.86%,RLI,USA,$5.80 B,RLI Corp.,2109,$127.86
[],0.58%,-5.53%,OFC,USA,$5.80 B,Corporate Office Properties Trust,2110,$25.80
['Transportation'],2.11%,13.17%,CONCOR.NS,India,$5.81 B,Container Corporation of India,2107,$9.54
['Electronics'],0.55%,-34.60%,4062.T,Japan,$5.78 B,Ibiden,2112,$39.89
[],2.05%,15.25%,FCN,USA,$5.80 B,FTI Consulting,2108,$168.57
"['Gambling', 'Entertainment']",-0.83%,-3.75%,LNW,USA,$5.79 B,Light & Wonder,2111,$61.87
[],-0.33%,-18.33%,9435.T,Japan,$5.82 B,Hikari Tsushin,2105,$131.36
['Chemicals'],-0.61%,-26.14%,4005.T,Japan,$5.81 B,Sumitomo Chemical,2106,$3.56
"['Financialservices', 'Insurance']",0.04%,-0.68%,IAG.TO,Canada,$5.83 B,iA Financial,2104,$55.40
['Retail'],-1.16%,-2.17%,AXFO.ST,Sweden,$5.83 B,Axfood,2102,$27.06
['Professionalservices'],0.06%,29.31%,EXLS,USA,$5.83 B,EXL Service,2103,$176.48
"['ITservices', 'Professionalservices']",-0.14%,-34.34%,CNXC,USA,$6.04 B,Concentrix,2061,$116.94
"['Tech', 'Software']",-1.43%,-63.89%,CLVT,UK,$6.04 B,Clarivate,2058,$8.97
