"Rank","Name","in 2021 ranking","in 2020 ranking","Country","Sector","Absolute Growth Rate %","Compound Annual Growth Rate (CAGR) %","Revenue 2020 (€)","Revenue 2017 (€)","Number of employees 2020","Number of employees 2017","Founding Year"
"570","Cladspray Solutions","No","No","UK","Construction","275.83","55.48","1,863,819","499,484","12","4","2013"
"571","iM Global Partner","No","No","France","Financial Services","274.90","55.35","31,463,692","8,392,541","50","10","2015"
"572","Confinvest","No","No","Italy","Precious metals","274.52","55.30","41,130,000","10,982,110","6","2","1983"
"573","Ethic Technology","Yes","Yes","France","Technology","274.15","55.24","8,340,824","2,229,273","3","2","2012"
"574","Bomax","Yes","No","Italy","Telecoms","273.47","55.15","71,290,680","19,088,830","7","6","2001"
"575","KK-Trade","No","No","Germany","Retail","273.12","55.10","4,383,254","1,174,770","15","4","2017"
"576","Marsapet","No","No","Germany","Retail","273.03","55.09","3,960,200","1,061,642","26","4","2015"
"577","Gruppo Tera","Yes","No","Italy","Ecommerce","272.54","55.02","20,222,750","5,428,300","16","8","2015"
"578","CodicePlastico","No","No","Italy","Technology","272.18","54.97","3,068,430","824,450","14","7","2009"
"579","Tremend","No","Yes","Romania","Technology","272.13","54.96","20,679,155","5,772,716","426","185","2005"
"580","Doofinder","No","No","Spain","Technology","271.97","54.94","6,590,434","1,771,758","61","17","2010"
"581","Hostinger","Yes","Yes","Lithuania","Technology","271.81","54.92","25,860,664","6,955,394","780","80","2004"
"582","Catalyx","Yes","Yes","Switzerland","Sales & Marketing","271.64","54.90","6,540,543","1,627,160","39","9","2013"
"583","Harness Code","No","No","Bulgaria","Sales & Marketing","270.79","54.78","2,223,308","599,612","9","6","2016"
"584","Nanoprom Chemicals","No","No","Italy","Chemicals & Pharmaceuticals","270.68","54.76","2,779,910","749,940","17","5","2014"
"585","Elite","No","Yes","Spain","Construction","270.39","54.72","10,060,550","2,716,240","49","27","2012"
"586","AppUnite","Yes","Yes","Poland","Technology","268.98","54.53","4,424,063","1,310,532","119","26","2012"
"587","Eskalia et Nakupenda","No","No","France","Retail","268.92","54.52","1,515,414","410,775","7","2","2006"
"588","LGX Logistics","No","No","Germany","Transport","268.20","54.42","8,070,059","2,191,733","12","3","2006"
"589","Polipop","No","No","Portugal","Industrial Goods","268.16","54.41","3,351,671","910,392","22","11","2015"
"590","StampaSi","No","No","Italy","Ecommerce","268.08","54.40","2,543,820","691,110","10","1","2016"
