,company_rank,company_name,company_industry,company_location
358,359,Bose,Home Audio,Regional
359,360,Kelvinator,White Goods,India
360,361,OCBC,Bank,"Malaysia, Singapore"
361,362,Ford,Car/Automobile,Regional
362,363,Teco,White Goods,Taiwan
363,364,Air China,Full-service Airlines,China
364,365,Fubon,Insurance,"Hong Kong, Taiwan"
365,366,Softbank,Mobile Service Provider,Japan
366,367,Hey Song,Carbonated Soft Drink,Taiwan
367,368,Del Monte,Fruit Juice,"Hong Kong, Southeast Asia"
368,369,Maxwell House,Coffee,"China, Southeast Asia"
369,370,Kia,Car/Automobile,Regional
370,371,Cheil Jedang (CJ),Sauce/Condiment,Korea
371,372,Barista Lavazza (India),Coffee Shop,India
372,373,Sagawa,Courier Company,Japan
373,374,Tao Ti,Tea,Hong Kong
374,375,Shokubutsu,Shower Gel/Soap,Japan
375,376,Pepsodent,Toothpaste,"Australia, India"
376,377,Cold Storage,Supermarket,"Malaysia, Singapore"
377,378,Mr. Juicy,Fruit Juice,China
378,379,Aquarius,Sports Drink,"Japan, Malaysia"
379,380,Nippon Oil Corporation,Petrol/Gas Station,Japan
380,381,American Express,Credit Card,Regional
381,382,Orion,Snack Food,"Korea, China"
382,383,Tipco,Fruit Juice,Thailand
383,384,Reliance (RIL),Pharmacy/Drugstore,"India, Malaysia"
384,385,3,Mobile Service Provider,Hong Kong
385,386,BiorÃ©,Skincare Product,Regional
386,387,Orkut,Social Networking Site,"Australia, India"
387,388,Aekyung 2080,Toothpaste,Korea
388,389,Anlene,Milk Powder,Singapore
389,390,Aeon,Supermarket,Japan
390,391,Bally,Menâs Shoes,"Japan, China"
391,392,Gloria Jeans,Coffee Shop,"Australia, Singapore"
392,393,Gree,White Goods,China
393,394,Kwality,Ice-cream,India
394,395,Celcom,Mobile Service Provider,Malaysia
395,396,Mother Dairy,Milk,India
396,397,China Eastern Airlines,Full-service Airlines,China
397,398,China Construction Bank,Bank,China
398,399,Cass,Beer,Korea
399,400,SF Express,Courier Company,China
400,401,Kanebo,Cosmetics,"Japan, Taiwan"
401,402,Chow Sang Sang,Jewellery,"China, Hong Kong"
402,403,Foremost,Milk,Thailand
403,404,Spritzer,Mineral Water,Malaysia
404,405,Ferrari,Car/Automobile,Regional
405,406,Doutor,Coffee Shop,Japan
406,407,Formosa Petrochemical,Petrol/Gas Station,Taiwan
407,408,Hush Puppies,Menâs Shoes,Regional
408,409,Boss,Fragrance/Menâs Fashion Retailer,Regional
409,410,VIPS,Restaurant Chain,Korea
410,411,Bajaj,Motorcycle,India
411,412,Nestea,Tea,Regional
412,413,Schweppes,Mineral Water/Carbonated Soft Drink,Hong Kong
413,414,M1,Mobile Service Provider,Singapore
414,415,Carrier,Air Conditioner,"China, Southeast Asia"
415,416,Halls,Sweets and Candy,"Southeast Asia, Japan"
416,417,Boh,Tea,"Malaysia, Singapore"
417,418,MUFG,Bank,Japan
418,419,MK suki,Restaurant Chain,Thailand
419,420,Sugus,Sweets and Candy,"China, Southeast Asia"
420,421,Ghana,Chocolate,Korea
421,422,AU,Mobile Service Provider,Japan
422,423,Macleans,Toothpaste,Australia
423,424,Crest,Toothpaste,"China, Hong Kong"
424,425,Close up,Toothpaste,"India, Southeast Asia"
425,426,Whiskas,Pet Food,Regional
426,427,Mead Johnson,Milk Powder,"China, Southeast Asia"
