,company_name,company_location
378,AEC UNDERWRITING AGENZIA DI ASSICURAZIONE E RIASSICURAZIONE SPA,ITALY
379,EDP AUTO OU,ESTONIA
380,IQVIA HOLDINGS INC.,UNITED STATES
381,DIRECT RECALL LIMITED,UNITED KINGDOM
382,FLOATERS SPA,ITALY
383,EAST CAPITAL REAL ESTATE AS,ESTONIA
384,INNOVEX MERGER CORP.,UNITED STATES
385,VIRTUAL RECALL LIMITED,UNITED KINGDOM
386,ALD AUTOMOTIVE ITALIA SRL,ITALY
387,EMOR AS,ESTONIA
388,"EEC ACQUISITION, LLC",UNITED STATES
389,EXPANSYS LIMITED,UNITED KINGDOM
390,VODAFONE AUTOMOTIVE ITALIA SPA,ITALY
391,VBH ESTONIA OU,ESTONIA
392,ICAP SERVICES NORTH AMERICA LLC,UNITED STATES
393,EXPANSYS SOUTHERN EUROPE LIMITED,UNITED KINGDOM
394,TERMINAL DEL GOLFO SPA,ITALY
395,VKG OIL AS,ESTONIA
396,"SIXT RENT A CAR, LLC",UNITED STATES
397,ETHYPHARM UK LIMITED,UNITED KINGDOM
398,NIOCOCKTAILS SRL,ITALY
399,WIENERBERGER AS,ESTONIA
400,"DOW JONES & COMPANY, INC.",UNITED STATES
401,PURE WORLD ENERGY LIMITED,UNITED KINGDOM
402,AMA COMPOSITES SRL,ITALY
403,HEALTHCARE INVESTMENT AND CONSULTING INTERNATIONAL HICI OU,ESTONIA
404,UMPQUA BANK,UNITED STATES
405,UNIPER UK LIMITED,UNITED KINGDOM
406,HP COMPOSITES SPA,ITALY
407,ESTONIAN CELL AS,ESTONIA
408,ALLIED UNIVERSAL TOPCO LLC,UNITED STATES
409,THAMESWEY SUSTAINABLE COMMUNITIES LIMITED,UNITED KINGDOM
410,BUCCI COMPOSITES SPA,ITALY
411,LINDSTROM OU,ESTONIA
412,"UNITED AIRLINES HOLDINGS, INC.",UNITED STATES
413,SEVEN SEAS LIMITED,UNITED KINGDOM
414,VIA LODOVICO SRL,ITALY
415,NT BUNKERING AS,ESTONIA
416,S&P GLOBAL INC.,UNITED STATES
417,BRAVADO INTERNATIONAL GROUP LIMITED,UNITED KINGDOM
418,ENTERPRISE SERVICES ITALIA SRL,ITALY
419,TALLINNA KAUBAMAJA KINNISVARA AS,ESTONIA
420,S&P GLOBAL MARKET INTELLIGENCE INC.,UNITED STATES
421,WATCHTOWER SECURITY SOLUTIONS UNITED KINGDOM LIMITED,UNITED KINGDOM
422,EUREGIO PLUS SOCIETA\' DI GESTIONE DEL RISPARMIO SPA,ITALY
423,REDDIGITAL OU,ESTONIA
