,company_name,company_industry
4383,InnoEye Technologies,IT Services & Consulting
4384,ARCIS e Services,BPO
4385,Fraazo,Internet
4386,Videojet Technologies,Consumer Electronics & Appliances
4387,JBF Industries,Fashion & Textile
4388,ITCube Solutions,IT Services & Consulting
4389,Alpha Design Technologies,Defence & Aerospace
4390,Furlenco,Furniture & Furnishing
4391,Sagarsoft,IT Services & Consulting
4392,Diamond Beverages,Beverage
4393,Mindlance,Recruitment
4394,Manika Moulds,Petrochemicals
4395,Masu Brakes,Auto Components
4396,Jaiprakash Power Ventures,Power
4397,Webkul Software,IT Services & Consulting
4398,Ayoki Fabricon,Engineering & Construction
4399,Pratibha Syntex,Fashion & Textile
4400,Muthoot Housing Finance Company,NBFC
4401,Noida Power Company,Power
4402,Sv Creditline,NBFC
4403,Hitachi Automotive Systems,Auto Components
4404,Advaith Motors,Automobile
4405,Xylem Water Solutions,Waste Management
4406,DQ Entertainment,Animation & VFX
4407,Be Well Hospitals,Healthcare
4408,Igarashi Motors,Auto Components
4409,Hitachi Automotive Systems,Auto Components
4410,Sv Creditline,NBFC
4411,Ayoki Fabricon,Engineering & Construction
4412,SAVIC Technologies,IT Services & Consulting
4413,Dr.SNS Rajalakshmi College Of Arts and Science,Education & Training
4414,Bonn group,FMCG
4415,Ensono,IT Services & Consulting
4416,Magnasoft Consulting India,IT Services & Consulting
4417,Jaslok Hospital and Research Centre,Healthcare
4418,Quest Diagnostics,Clinical Research
4419,TestingXperts,IT Services & Consulting
4420,Lalitpur Power Generation Company,Power
4421,Bacardi,Beverage
4422,BPO+,BPO
4423,EagleBurgmann,Industrial Machinery
4424,Career Point,Education & Training
4425,Cholayil,Beauty & Personal Care
4426,Fleet Management,Ports & Shipping
4427,Micron Technology,IT Services & Consulting
4428,Aagna Global Solutions,BPO
4429,Coastal Projects,Engineering & Construction
4430,National Securities Depository,Financial Services
4431,Fernandez Hospital,Healthcare
4432,Evoke Technologies,IT Services & Consulting
4433,Asian Institute of Medical Sciences,Healthcare
4434,Inland World Logistics,Logistics
4435,Rohan Motors,Automobile
4436,Asianet Satellite Communications,Internet
4437,Axio,Financial Services
4438,Kanpur PLastipack,Packaging
4439,VISION,Management Consulting
4440,PIX Transmissions,Fashion & Textile
4441,Shriram Properties,Real Estate
4442,Hughes Systique Corporation,IT Services & Consulting
4443,Flatworld Mortgage Processing,IT Services & Consulting
4444,Afflatus Gravures,Printing & Publishing
4445,Alchemist Hospital,Healthcare
4446,MM Forgings,Iron & Steel
4447,GAIN Credit,IT Services & Consulting
4448,Filatex India,Fashion & Textile
4449,CANTABIL RETAIL INDIA,Fashion & Textile
4450,Modern Automotives,Automobile
4451,Lifelong India,Petrochemicals
4452,DAEWOO E&C,Engineering & Construction
4453,Thirdware Solutions,IT Services & Consulting
4454,Parsons International,IT Services & Consulting
4455,Saint Gobain Sekurit India,Auto Components
4456,Eptisa,Engineering & Construction
4457,KPR Mill,Fashion & Textile
4458,Izmo,IT Services & Consulting
4459,Técnicas Reunidas,Oil & Gas
4460,Elsamex Maintenance Services,Facility Management Services
4461,Grauer & Weil (i),Chemicals
4462,Hartek Group,Engineering & Construction
4463,MRF Vapocure Paints,Chemicals
4464,CSM Technologies,Software Product
4465,S.K. Finance,NBFC
4466,VIKRAN Engineering & Exim,Engineering & Construction
4467,Fipola Retail,Food Processing
4468,Connectwise India,IT Services & Consulting
4469,Namdev Finvest,Financial Services
4470,Carnival Group,Media & Entertainment
4471,Century Enka,Fashion & Textile
4472,ValGenesis,IT Services & Consulting
4473,Acute Informatics,IT Services & Consulting
4474,Diksha Technologies,Telecom
4475,Forbes Technosys,IT Services & Consulting
4476,Mangalam Cement,Building Material
4477,TIL,Engineering & Construction
4478,American Express Global Business Travel,Travel & Tourism
4479,Red FM 93.5,Broadcasting
4480,Digient Technologies,IT Services & Consulting
4481,Oxigen Services,FinTech
4482,Manipal University,Education & Training
4483,Partha Dental,Healthcare
4484,Vipul MedCorp TPA,Insurance
4485,NXP Semiconductors,Semiconductors
4486,Hyderabad Industries,Industrial Machinery
4487,CL Educate,Education & Training
4488,StoreKing,Internet
4489,ANEWA Engineering,Oil & Gas
4490,Chembond Chemicals,Chemicals
4491,WEG,Electronics Manufacturing
4492,Unicorn Infosolutions,Retail
4493,Eternis Fine Chemicals,Chemicals
4494,Lawrence & Mayo,Retail
4495,Kiran Foreign Trade,Software Product
4496,Apollo Diagnostics,Healthcare
4497,Vihaan Networks,Telecom
4498,FICO,Analytics & KPO
4499,Bharat Wire Ropes,Iron & Steel
4500,ValGenesis,IT Services & Consulting
4501,Mangalam Cement,Building Material
4502,ANEWA Engineering,Oil & Gas
4503,GUILTFREE INDUSTRIES,FMCG
4504,Hidesign,Retail
4505,cFIRST,Recruitment
4506,Franco-Indian Pharmaceuticals,Pharma
4507,Chain-Sys,IT Services & Consulting
4508,Energy Efficiency Services,Power
4509,Impressico Business Solutions,IT Services & Consulting
4510,SAI Consulting Engineers,Engineering & Construction
4511,Bharat Benz,Automobile
4512,Roulunds Braking,Auto Components
4513,Career Launcher,Education & Training
4514,Sadara Chemical Company,Chemicals
4515,Viteos Capital Market Services,Financial Services
4516,Kanoria Chemicals & Industries,Chemicals
4517,Nesma Trading,Engineering & Construction
4518,Siegwerk,Chemicals
4519,Zodiac Clothing Company,Fashion & Textile
4520,St. Mary's School,Education & Training
4521,Domino Printech,Printing & Publishing
4522,Indian Railway Catering and Tourism,Urban Transport
4523,Chai Point,Beverage
4524,Hicare Services,Chemicals / Agri Inputs
4525,IL&FS Technologies,Engineering & Construction
4526,Ujaas Energy,Power
4527,C.G. Marketing,Marketing & Advertising
4528,Vinati Organics,Chemicals
4529,Fukoku,Automobile
4530,Simpson,Auto Components
4531,ICPA Health Products,Healthcare
4532,Ghatge Patil Industries,Industrial Machinery
4533,Light Microfinance,NBFC
4534,Bombay Hospital,Healthcare
4535,Jubilant Ingrevia,Chemicals
4536,HEUBACH Colour,Chemicals
4537,NIKE,Internet
4538,MindCraft Software,IT Services & Consulting
4539,CloudMoyo,Software Product
4540,Bluestone.com,Jewellery
4541,Swastika Investmart,Investment Banking / Venture Capital / Private Equity
4542,Oriental Bank of Commerce,Banking
4543,SunMax Auto Engineering,Auto Components
4544,Dr Oetker,Food Processing
4545,MosChip Technologies,Emerging Technologies
4546,Shirdi Sai Electricals,Power
4547,Kantar Operations,Analytics & KPO
4548,Advantage One Tax Consulting,Financial Services
4549,SOS Children's Village,Non-Profit
4550,Datamatics Financial Services,IT Services & Consulting
4551,Joannou & Paraskevaides,Engineering & Construction
4552,FOX Solutions,Industrial Machinery
4553,Clarks Inn Group of Hotels,Hospitality
4554,B9 Beverages,Beverage
4555,First Data,Financial Services
4556,Godawari Power & Ispat,Iron & Steel
4557,Sajjan India,Chemicals
4558,Autodesk,Software Product
4559,Peps Industries,Other
4560,Ncc Urban Infrastructure,Engineering & Construction
4561,Sparsh Hospital,Healthcare
4562,Duroflex,
4563,Gautam Solar,Power
4564,Army Ordnance Corps,Defence & Aerospace
4565,S.S. Kothari Mehta & Co,Accounting & Auditing
4566,St. Joseph's School,Education & Training
4567,Hyundai Engineering,Automobile
4568,JP Infra,Real Estate
4569,Takata,Auto Components
4570,Livguard,Electronics Manufacturing
4571,Innoviti Payment Solutions,IT Services & Consulting
4572,Flair Writing Instruments,Other
4573,Suez Water Technologies and Solutions,Waste Management
4574,Dorset Industries,Building Material
4575,Mahle Anand Thermal Systems,
4576,OneClick IT Consultancy,IT Services & Consulting
4577,Tata Play Fiber,
4578,1K Networks,Retail
4579,University of Delhi,Education & Training
4580,ICFAI Business School,Education & Training
4581,Franciscan Solutions,IT Services & Consulting
4582,NIELIT,Education & Training
4583,SEDER GROUP,Engineering & Construction
4584,Gates,Industrial Automation
4585,Orchid Pharma,Pharma
4586,Fulcrum Worldwide Software,IT Services & Consulting
4587,Service Master Clean,Facility Management Services
4588,Xeam Ventures,Recruitment
4589,Manohar Filaments,Fashion & Textile
4590,ABC Bearings,Auto Components
4591,Simar Infrastructures,Engineering & Construction
4592,ICFAI Business School,Education & Training
4593,Malladi Drugs & Pharmaceuticals,Pharma
4594,National Small Industries Corporation,Government
4595,Maahi Milk Producer Company,Food Processing
4596,Acer India,IT Services & Consulting
4597,Paradise Food Court,Hospitality
4598,SEDER GROUP,Engineering & Construction
4599,Gates,Industrial Automation
4600,Orchid Pharma,Pharma
4601,KLT Automotive & Tubular Products,Auto Components
4602,Fulcrum Worldwide Software,IT Services & Consulting
4603,Xeam Ventures,Recruitment
4604,Clove Dental,Healthcare
4605,Arkray Healthcare,Healthcare
4606,Pharmarack Technologies,IT Services & Consulting
4607,SBI Payment Services,Financial Services
4608,Advantum Health,Healthcare
4609,DS Spiceco,Food Processing
4610,Government Hospital,Healthcare
4611,ICRA Analytics,Financial Services
4612,Ways2excel,EdTech
4613,Ajay Industrial Corporation,Industrial Machinery
4614,Wicked Ride Adventures,Internet
4615,iB Hubs,IT Services & Consulting
4616,NSL Textiles,Fashion & Textile
4617,Thomson Press India,Printing & Publishing
4618,FarEye,IT Services & Consulting
4619,Ginni Filaments,Fashion & Textile
4620,Tangoe,IT Services & Consulting
4621,Food Corporation of India,Government
4622,Emerald Jewel Industry India,Jewellery
4623,Suven Life Sciences,Pharma
4624,L and T Chiyoda,Oil & Gas
4625,First American Title,Insurance
4626,Chassis Brakes International,Auto Components
4627,LUX Industries,Fashion & Textile
4628,Knoldus Software,IT Services & Consulting
4629,Shanthi Gears,Auto Components
4630,Parker Hannifin,Defence & Aerospace
4631,Delhi International Airport,Aviation
4632,FreshMenu,Internet
4633,Walter Bushnell,Pharma
4634,Aurigene Discovery Technologies,Pharma
4635,Capricorn Logistics,Logistics
4636,SSEM,Industrial Machinery
4637,Kesari Tours,Travel & Tourism
4638,Swaraj Engines,Automobile
4639,Shiva Pharmachem,Chemicals
4640,Covalent Laboratories,Pharma
4641,Heavy Engineering Corporation,Engineering & Construction
4642,Tata Institute of Social Sciences,Education & Training
4643,Sophos Technologies,IT Services & Consulting
4644,Khanna Paper Mills,Pulp & Paper
4645,C. L. GUPTA EXPORTS,Import & Export
4646,Foiwe Info Global Solution,IT Services & Consulting
4647,Atidan Technologies,IT Services & Consulting
4648,Maksat Technologies,Telecom
4649,Shanthi Gears,Auto Components
4650,Walter Bushnell,Pharma
4651,NSL Textiles,Fashion & Textile
4652,OASYS Cybernetics,IT Services & Consulting
4653,LKQ INDIA,Auto Components
4654,L&T Power Transmission & Distribution,Power
4655,Netoyed,
4656,CBSI,Recruitment
4657,Novel Office,Real Estate
4658,Texspin Bearings,Auto Components
4659,Bank Muscat,Banking
4660,Leonia Holistic Destination,Hospitality
4661,Integra Micro Systems,IT Services & Consulting
4662,SNVA Ventures,IT Services & Consulting
4663,Caplin Point Laboratories,Pharma
4664,Bajaj Healthcare,Pharma
4665,Mahavir Die Casters,Auto Components
4666,ACT Plast Paints,Chemicals
4667,Kalyani Maxion Wheels,Auto Components
4668,TCTS,Telecom
4669,Gpt Infraprojects,Engineering & Construction
4670,Olive Bar & Kitchen,Hospitality
4671,Autocop India,Semiconductors
4672,RND Softech,BPO
4673,Chemie Tech,Oil & Gas
4674,UDS,Facility Management Services
4675,Innovatiview,IT Services & Consulting
4676,Faber India,Consumer Electronics & Appliances
4677,CyberSWIFT Infotech,IT Services & Consulting
4678,Hindustan Foods,FMCG
4679,Kazo Fashion,Fashion & Textile
4680,AVRA Laboratories,Pharma
4681,Naprod Life Sciences,Pharma
4682,Ahresty India,Auto Components
4683,Echs Polyclinic,Healthcare
4684,University of Engineering and Management,Education & Training
4685,Safeducate,Education & Training
4686,Spice Money,Financial Services
4687,SEABIRD LOGISOLUTIONS,Logistics
4688,Aditya Birla Nuvo,Fashion & Textile
4689,Continental Hospitals,Healthcare
4690,Hidden Brains InfoTech,IT Services & Consulting
4691,Semac Consultants,Engineering & Construction
4692,Jabong,Internet
4693,Miraj Group,FMCG
4694,Locuz Enterprise Solutions,IT Services & Consulting
4695,Mafatlal Industries,Retail
4696,Allen Solly,Fashion & Textile
4697,KisanKraft Machine Tools,Industrial Machinery
4698,KMC Constructions,Engineering & Construction
4699,United Bank of India,Banking
4700,Toyota Financial Services,Financial Services
4701,FCI CCM,IT Services & Consulting
4702,Indo Count Industries,Fashion & Textile
4703,Ganges Internationale,Power
4704,Lion Engineering Consultants,Engineering & Construction
4705,Narula Infrastructure,Engineering & Construction
4706,Five Splash Infotech,IT Services & Consulting
4707,POWERGRID,Power
4708,Rotostat Services,Industrial Machinery
4709,Ganges Internationale,Power
4710,FCI CCM,IT Services & Consulting
4711,Centelon,IT Services & Consulting
4712,Miraj Group,FMCG
4713,Locuz Enterprise Solutions,IT Services & Consulting
4714,Coverfox,Insurance
4715,United Bank of India,Banking
4716,Podar Jumbo Kids,Education & Training
4717,Narula Infrastructure,Engineering & Construction
4718,Escalon Business Services,Analytics & KPO
4719,Annexmed,BPO
4720,Continental Hospitals,Healthcare
4721,Hidden Brains InfoTech,IT Services & Consulting
4722,Semac Consultants,Engineering & Construction
4723,POWERGRID,Power
4724,St Regis,Hospitality
4725,GAO Tek,Electrical Equipment
4726,Mold-Tek Technologies,IT Services & Consulting
4727,Five Splash Infotech,IT Services & Consulting
4728,Rotostat Services,Industrial Machinery
4729,Nielsen Sports,Sports & Recreation
4730,Wilo Mather and Platt Pumps,Industrial Machinery
4731,Lumino Industries,Electrical Equipment
4732,Kaveri Seed Company,Chemicals / Agri Inputs
4733,SYNCHRONIZED SUPPLY SYSTEMS,Logistics
4734,Paytm Mall,Internet
4735,Arzooo.com,Internet
4736,Visa,FinTech
4737,MMTC-PAMP,Metals & Mining
4738,Fedders Lloyd,Engineering & Construction
4739,Cleartrip,Internet
4740,Ajnara India,Real Estate
4741,Sunera Technologies,IT Services & Consulting
4742,Ginger Hotels,Hospitality
4743,Synokem Pharmaceuticals,Pharma
4744,CDM Smith,Engineering & Construction
4745,Development Consultants,IT Services & Consulting
4746,Aspiring Minds,Software Product
4747,Suminter India Organics,FMCG
4748,Manba Finance,NBFC
4749,National Highways Authority of India,Engineering & Construction
4750,Bambino Agro Industries,Food Processing
4751,Trimble,IT Services & Consulting
4752,Xome,Internet
4753,Wabtec,Logistics
4754,Ford Motor Credit Company,Financial Services
4755,Terrier Security Services,Law Enforcement & Security
4756,Suhail Bahwan Automobiles,Auto Components
4757,Indigo Paints,Chemicals
4758,Anand CY Myutec Automotive,Auto Components
4759,Flemingo Duty Free Shop,Retail
4760,TLC Relationship Management,Hospitality
4761,Impressions Services,Facility Management Services
4762,Shimizu,Engineering & Construction
4763,J. C. Penney,Retail
4764,Goibibo,Internet
4765,Avalara Technologies,IT Services & Consulting
4766,Malabar Group Of Companies,Jewellery
4767,Logicon Facility Management,Facility Management Services
4768,Sagar Hospital,Healthcare
4769,SRR Projects,Engineering & Construction
4770,Anand CY Myutec Automotive,Auto Components
4771,Bambino Agro Industries,Food Processing
4772,Manba Finance,NBFC
4773,Addverb Technologies,Industrial Automation
4774,Ameyo,Software Product
4775,IL&FS Skills Development Corporation,Education & Training
4776,Chemtrols Industries,Industrial Automation
4777,Amrapali Group,Real Estate
4778,MKCL,Education & Training
4779,Basix,Financial Services
4780,ITW India,Industrial Machinery
4781,AABSyS IT,IT Services & Consulting
4782,L&T IDPL,Engineering & Construction
4783,Cethar,Industrial Machinery
4784,Epitome Components,Electrical Equipment
4785,Apexon,IT Services & Consulting
4786,DDB Mudra Group,Marketing & Advertising
4787,Parijat Industries (India),Chemicals
4788,Peninsula Land,Real Estate
4789,India Power Corporation,Power
4790,Hermes I Tickets,Internet
4791,Petronas Lubricants,Petrochemicals
4792,Diagno Labs,Healthcare
4793,Sam India Built Well,Engineering & Construction
4794,Intelux Electronics,Electronics Manufacturing
4795,Bombay Stock Exchange,Financial Services
4796,Acidaes Solutions,IT Services & Consulting
4797,Adcock Ingram,Pharma
4798,Radix Electrosystems,Electronics Manufacturing
4799,Intelux Electronics,Electronics Manufacturing
4800,ITW India,Industrial Machinery
4801,Bombay Stock Exchange,Financial Services
4802,DDB Mudra Group,Marketing & Advertising
4803,Punjab and Maharashtra Co-operative Bank,Banking
4804,Peninsula Land,Real Estate
4805,Parijat Industries (India),Chemicals
4806,India Power Corporation,Power
4807,Petronas Lubricants,Petrochemicals
4808,Sam India Built Well,Engineering & Construction
4809,Diagno Labs,Healthcare
4810,Hermes I Tickets,Internet
4811,C3I Solutions,BPO
4812,Webdew,IT Services & Consulting
4813,Motherhood Hospital,Healthcare
4814,A&A Business Consulting,Management Consulting
4815,OLX Autos,
4816,Kriti Industries,Building Material
4817,Milkbasket,Internet
4818,Armstrong International,Financial Services
4819,Mayfair Hotels & Resorts,Hospitality
4820,InnovationM,IT Services & Consulting
4821,Ananth Technologies,IT Services & Consulting
4822,Phenix Construction Technologies,Engineering & Construction
4823,SeQuent Scientific,Pharma
4824,Butterfly Gandhimathi Appliances,Consumer Electronics & Appliances
4825,Federal Mogul Powertrain,Auto Components
4826,Pathfinder Business Analysis,IT Services & Consulting
4827,Avanse Financial Services,Financial Services
4828,Emerson Innovation Center,Industrial Automation
4829,Nehru Yuva Kendra Sangathan,Non-Profit
4830,Msc Cruises,Ports & Shipping
4831,The Millennium School,Education & Training
4832,Spectraforce Technologies,IT Services & Consulting
4833,Harsco,Waste Management
4834,RattanIndia Power,Metals & Mining
4835,IAF,Defence & Aerospace
4836,Epson,IT Services & Consulting
4837,Matix Fertilisers & Chemicals,Chemicals
4838,Bekaert Industries,Electrical Equipment
4839,Technique Control Facility Management,Facility Management Services
4840,Sharp Business Systems India,Consumer Electronics & Appliances
4841,Mayur Uniquoters,Leather
4842,Autoline Industries,Auto Components
4843,Madras Engineering Industries,Auto Components
4844,Biophore India Pharmaceuticals,Pharma
4845,Dalmia Bharat Sugar & Industries,Food Processing
4846,Rehau Polymers,Engineering & Construction
4847,Nova IVI Fertility,Healthcare
4848,Azad Engineering,Engineering & Construction
4849,Education Culture,Education & Training
4850,Ketto,Internet
4851,Xalta Food And Beverages,Beverage
4852,Ceat Specialty Tyres,Auto Components
4853,Country Club Hospitality & Holidays,Hospitality
4854,Rama University,Education & Training
4855,CityMall,Internet
4856,L&T Smart World & Communication,IT Services & Consulting
4857,Busibud,Emerging Technologies
4858,TDS Lithium-Ion Battery,Auto Components
4859,MMACH Design,IT Services & Consulting
4860,Ican BPO,BPO
4861,"L&T Construction, Mining and Industrial Machinery",Industrial Machinery
4862,Rithwik Projects,Engineering & Construction
4863,GVK Group,Engineering & Construction
4864,GD Goenka University,Education & Training
4865,Software AG,IT Services & Consulting
4866,Jeena & Company,Logistics
4867,Tecumseh Products,Industrial Machinery
4868,Sand Martin Consultants,BPO
4869,Fabtech Projects & Engineers,Engineering & Construction
4870,EVOSYS,IT Services & Consulting
4871,G.M.Pens International,Other
4872,Ramoji Film City,Media & Entertainment
4873,Virinchi Technologies,IT Services & Consulting
4874,Kinapse,Pharma
4875,Alf Engineering,Auto Components
4876,Atos Technologies,
4877,Connect Broadband,Telecom
4878,Sony India Software Center,Consumer Electronics & Appliances
4879,Enaltec Labs,Pharma
4880,Astegic,IT Services & Consulting
4881,Mindcrest,Legal
4882,IDBI Capital,Financial Services
4883,John Energy,Oil & Gas
4884,UnitedHealthcare Parekh Insurance TPA,Healthcare
4885,Bimal Auto Agency,Auto Components
4886,Msn Pharmachem,
4887,Godrej Appliances,Consumer Electronics & Appliances
4888,Fortune Park Hotels,Hospitality
4889,G.M.Pens International,Other
4890,Tecumseh Products,Industrial Machinery
4891,Mindcrest,Legal
4892,IDBI Capital,Financial Services
4893,Bimal Auto Agency,Auto Components
4894,JAY JAY MILLS,Fashion & Textile
4895,Pacific Cyber Technology,Electronics Manufacturing
4896,Msn Pharmachem,
4897,Sony India Software Center,Consumer Electronics & Appliances
4898,Olectra Greentech,Electrical Equipment
4899,Sulphur Mills,Agro Chemicals
4900,C DOT,Telecom
4901,MARG ERP,Accounting & Auditing
4902,Vishay Precision Transducers,Semiconductors
4903,UnitedHealthcare Parekh Insurance TPA,Healthcare
4904,Sand Martin Consultants,BPO
4905,Ankur Seeds,Agriculture
4906,Gapbridge Software Services,IT Services & Consulting
4907,TI METAL FORMING,Auto Components
4908,Rudrabhishek Enterprises,Real Estate
4909,Schneider Electric india,
4910,ITC Limited - Paperboards Specialty Papers Division,Packaging
4911,SMS Pharmaceuticals,Pharma
4912,Vitesco Technologies,Automobile
4913,Trell,Internet
4914,Teachnook,EdTech
4915,Sowparnika,Real Estate
4916,Saleswallah,Education & Training
4917,World Health Organization,Government
4918,SSK Group,FMCG
4919,TC Global,EdTech
4920,Tata Memorial Hospital,Healthcare
4921,UFO Moviez,Media & Entertainment
4922,LimeRoad,Internet
4923,Ramee Group of Hotels,Hospitality
4924,Droom,Internet
4925,AGC Networks,IT Services & Consulting
4926,Freecharge,Financial Services
4927,SCM Garments,Fashion & Textile
4928,ANR Software,IT Services & Consulting
4929,Verifone,Financial Services
4930,S.M. Consultants,Management Consulting
4931,Sims Hospital,Healthcare
4932,Horiba India,
4933,Brinks Arya India,Financial Services
4934,Gracure Pharmaceuticals,Pharma
4935,Borgwarner Emission System,Automobile
4936,Target Engineering Construction Company,Engineering & Construction
4937,Maharashtra State Electricity Transmission Company,Government
4938,Suzlon Gujarat Wind Park,Power
4939,Harvest Gold Industries,Food Processing
4940,Bliss Gvs Pharma,Pharma
4941,Jbm Auto Components,Auto Components
4942,Eaton Fluid Power,Electrical Equipment
4943,Da Milano Leathers,Leather
4944,Rubicon Research,Clinical Research
4945,YFC PROJECTS,Engineering & Construction
4946,Nirmal Bang,Financial Services
4947,TA Digital,IT Services & Consulting
4948,Beri Udyog,Industrial Machinery
4949,Speciality Restaurants,Hospitality
4950,Tulip Diagnostics,Medical Equipment
4951,More Mega Store,Retail
4952,Futures Group,Retail
4953,Advanced Micro Devices,Semiconductors
4954,Clean Harbors,IT Services & Consulting
4955,QDVC,Engineering & Construction
4956,TimesPro,Education & Training
4957,Hiranandani group,Real Estate
4958,HMSHost,FMCG
4959,Tokai Imperial Rubber India,Industrial Machinery
4960,Sopra Banking Software,IT Services & Consulting
4961,Smith & Nephew Healthcare,Medical Equipment
4962,Garware Hi-Tech Films,Chemicals / Agri Inputs
4963,Celebi Ground Handling,Aviation
4964,Boston Scientific,Healthcare
4965,Tudip Technologies,IT Services & Consulting
4966,Furnace Fabrica India,Engineering & Construction
4967,Cheers Interactive,Management Consulting
4968,Hanu Software Solutions,IT Services & Consulting
4969,V2 Solutions,IT Services & Consulting
4970,Vinculum Solutions,IT Services & Consulting
4971,Sterling Biotech,Pharma
4972,Innovision,Facility Management Services
4973,Metriqe Solutions,IT Services & Consulting
4974,Jubilant Chemsys,Pharma
4975,Laborate Pharmaceuticals,Pharma
4976,Altius Customer Services,BPO
4977,Consul Neowatt Power Solutions,Electronics Manufacturing
4978,Interface Microsystems,Auto Components
4979,Innovision,Facility Management Services
4980,Black & Veatch,Engineering & Construction
4981,Vishal Retail,Retail
4982,Consul Neowatt Power Solutions,Electronics Manufacturing
4983,Laborate Pharmaceuticals,Pharma
4984,Linfox Logistics,Urban Transport
4985,Exicom Tele Systems,
4986,Chowgule Industries,Auto Components
4987,Mohani Tea Leaves,FMCG
4988,Interface Microsystems,Auto Components
4989,Purplle.com,Beauty & Personal Care
4990,Jubilant Chemsys,Pharma
4991,Metriqe Solutions,IT Services & Consulting
4992,V2 Solutions,IT Services & Consulting
4993,Burckhardt Compression,Industrial Machinery
4994,Makino,Auto Components
4995,Tatva Chintan Pharma Chem,Chemicals
4996,Db Power,Power
4997,Tudip Technologies,IT Services & Consulting
4998,AWC Software,IT Services & Consulting
4999,Harita Techserv,Auto Components
5000,Rural Electrification Corporation,Power
5001,Altius Customer Services,BPO
5002,Merit Software Services,EdTech
5003,CDE Asia,Metals & Mining
5004,Konexions Back Office Services,BPO
5005,Venkateshwar Hospital,Healthcare
5006,Translumina Therapeutics,Healthcare
5007,Sahara India Financial Corporation,Financial Services
5008,EICHER TRUCKS AND BUSES,Automobile
5009,Hi Tech Informatics,IT Services & Consulting
5010,Konexions Back Office Services,BPO
5011,Eminent Minds Technologies,BPO
5012,Classplus,EdTech
5013,NAV Backoffice,IT Services & Consulting
5014,Abhijeet Group,Power
5015,Roots Multiclean,Industrial Machinery
5016,Presidium School,Education & Training
5017,Gap,Fashion & Textile
5018,Torque Pharmaceuticals,Pharma
5019,eMudhra,IT Services & Consulting
5020,Solaris Chemtech,Chemicals
5021,Givaudan,Beauty & Personal Care
5022,NDTV,Broadcasting
5023,Sutlej Textiles and Industries,Fashion & Textile
5024,Securitrans India,Financial Services
5025,Pittie Group,Real Estate
5026,Thirumalai Chemicals,Chemicals
5027,National Institute for Smart Government,Management Consulting
5028,Taikisha Engineering India,Industrial Machinery
5029,Sumadhura Infracon,Real Estate
5030,Apollo Speciality Hospital,Healthcare
5031,BMW Industries,Iron & Steel
5032,Eaton Power Quality,Electronics Manufacturing
5033,Stumpp Schuele & Somappa Springs,Industrial Machinery
5034,Supreme Treon,Auto Components
5035,Shipping Corporation of India,Logistics
5036,Eros Group,Real Estate
5037,Affluent Global Services,IT Services & Consulting
5038,Aia Engineering,Industrial Machinery
5039,Royal Bank of Scotland International,Banking
5040,Banaras Hindu University,Education & Training
5041,Lam Research,Electronics Manufacturing
5042,Dr D Y Patil Medical College,Healthcare
5043,Brandix India Apparel City,Fashion & Textile
5044,VIRTUSA TECHNOLOGIES,IT Services & Consulting
5045,Automotive Robotics (India),Industrial Machinery
5046,Myk Schomburg,Chemicals
5047,NGK Spark Plugs,Auto Components
5048,Laxmi-Agni Components and Forging,Industrial Machinery
5049,Americana Group,Food Processing
5050,Intellipaat Software Solutions,EdTech
5051,Shaw Toyota,Automobile
5052,Verse Innovation,Internet
5053,UNITILE,Building Material
5054,ASK-EHS Engineering & Consultants,Engineering & Construction
5055,Etihad Airways,Aviation
5056,NMDC,Metals & Mining
5057,Technosoft Corporation,IT Services & Consulting
5058,CIMS Hospital,Healthcare
5059,Renewsys India,Power
5060,XSEED Education,EdTech
5061,Kanakia Spaces,Real Estate
5062,Holostik,Packaging
5063,Toyota Kirloskar Auto Parts,Auto Components
5064,Oaknet Healthcare,Pharma
5065,Bull Machines,Industrial Machinery
5066,Swiss Garnier Life Sciences,Pharma
5067,Wingreens Farms,Power
5068,SEForge,Engineering & Construction
5069,Goldstone Cements,Building Material
5070,E Pack Polymers,Packaging
5071,Weikfield Foods,Food Processing
5072,Tata Ficosa Automotive Systems,Auto Components
5073,Shri Bajrang Power & Ispat,Power
5074,Alysj jv,Engineering & Construction
5075,Decimal Technologies,IT Services & Consulting
5076,Vijay Tanks & Vessels,Engineering & Construction
5077,Anupam Rasayan India,Chemicals
5078,Government Polytechnic Nagpur,Education & Training
5079,Minda Sai,Automobile
5080,DCW,Chemicals
5081,Safran Engineering Services India,Aviation
5082,Teleminds Infotech,BPO
5083,SAVA Healthcare,Pharma
5084,Oakridge International School,Education & Training
5085,Himalaya Opticals,Retail
5086,Nippon Toyota,Auto Components
5087,Prestige Estates Projects,Real Estate
5088,Elofic Industries,Auto Components
5089,Hathi Cement,Building Material
5090,G.S.E.C,Logistics
5091,Liugong India,Engineering & Construction
5092,Yamaha Motor India Sales,Automobile
5093,Dmi Housing Finance,Financial Services
5094,Jyote Motors,Automobile
5095,Imarticus Learning,EdTech
5096,ACE Group,Real Estate
5097,Essel Infraprojects,Engineering & Construction
5098,Zeta,IT Services & Consulting
5099,Indwell,Engineering & Construction
5100,Sanjay Ghodawat International School,Education & Training
5101,Pahal Financial Services,NBFC
5102,ZF Group,Auto Components
5103,Umlaut,Management Consulting
5104,Noccarc Robotics,Medical Equipment
5105,Club Oxygen,Hospitality
