"Rank","Company","Revenues 2018 $m","Employees","Family ownership","Founded","Public/Private","Generation","Family executive","Woman in leadership","Sector","Headquarters","State (abbreviation)","Website"
"40","Deichmann SE","6,006.1","26,075","Deichmann","1913","Private","3","Yes","No","Retail","E en","NW","www.deichmann.com"
"41","United Internet AG","5,767.4","9,115","Dommermuth","1988","Public","1","Yes","No","Telecommunications","Montabaur","RP","www.united-internet.de"
"42","Bartels-Langne  GmbH & Co. KG (aka Bela-Group)","5,724.8","18,500","Langne ","1892","Private","3","Yes","No","Consumer Products","Kiel","SH","www.bela.de"
"43","Wacker Chemie AG","5,600.0","14,744","Wacker","1914","Public","4","No","No","Industrial Manufacturing","München","BY","www.wacker.com"
"44","Franz Haniel & Cie. GmbH","5,376.1","18,824","Haniel","1756","Private","11","No","Yes","A et & Wealth Management","Duisburg","NW","www.haniel.de"
"45","Eberspächer Gruppe GmbH & Co. KG","5,283.9","9,489","Eberspächer, Baumann, Beckmann","1865","Private","5","Yes","No","Automotive","E lingen","BW","www.eberspaecher.com"
"46","Gebr. Heinemann SE & Co. KG","5,280.8","8,000","Heinemann","1879","Private","5","Yes","No","Retail","Hamburg","HH","www.gebr-heinemann.de"
"47","Hornbach Holding AG & Co. KGaA","5,013.4","21,668","Hornbach","1877","Public","6","Yes","Yes","Retail","Neustadt an der Weinstraße","RP","www.hornbach-holding.de"
"48","Bechtle AG","4,936.4","10,005","Schick","1983","Public","2","No","No","Technology","Neckarsulm","BW","www.bechtle.com"
"49","Fritz Dräxlmaier GmbH & Co. KG","4,791.5","68,553","Dräxkmaier","1958","Private","2","Yes","Yes","Automotive","Vilsbiburg","BY","www.draexlmaier.com/"
"50","Voith GmbH & Co. KGaA","4,717.1","19,627","Voith","1867","Private","6","No","No","Industrial Manufacturing","Heidenheim","BW","www.voith.com"
"51","Miele & Cie. KG","4,694.3","20,098","Miele, Zinkann","1899","Private","4","Yes","No","Consumer Products","Gütersloh","NW","www.miele.de"
"52","Mann+Hummel GmbH","4,589.6","20,535","Mann, Hummel","1941","Private","3","No","Yes","Industrial Manufacturing","Ludwigsburg","BW","www.mann-hummel.de"
"53","Egon Oldendorff GmbH & Co. KG","4,484.7","1,460","Oldendorff","1921","Private","2","Yes","No","Transportation and Logistics","Lübeck","SH","www.oldendorff.com"
"54","Krones AG","4,419.8","16,545","Kronseder","1951","Public","2","No","No","Industrial Manufacturing","Neutraubling","BY","www.krones.com"
"55","Claas Group","4,358.6","11,132","Claas","1913","Private","3","Yes","No","Industrial Manufacturing","Harsewinkel","NW","www.claas.com"
"56","Müller Holding Ltd. & Co. KG","4,342.6","34,000","Müller","1953","Private","2","Yes","Yes","Consumer Products","Ulm","BW","www.mueller.de"
"57","Jungheinrich AG","4,339.8","17,877","Wolf, Lange","1953","Public","2","No","No","Industrial Manufacturing","Hamburg","HH","www.jungheinrich.com"
"58","Stihl Holding AG & Co. KG","4,339.4","17,122","Stihl","1926","Private","3","Yes","Yes","Consumer Products","Waiblingen","BW","www.stihl.de"
