categories,change_1_day,change_1_year,country,id,market_cap,name,rank,share_price
['Real estate'],0.00%,-35.48%,,c775c54d29dc4134924fea9d172ddef2,$0.22 B,Ubm Development,6118,$30.73
['Medical devices'],4.99%,-0.08%,USA,9439194786a74377a5e4b0ebfae2c249,$0.22 B,Tela Bio,6117,$12.00
['Financial services'],1.24%,3.69%,USA,98229a00de5d492a90c348474b932cff,$0.23 B,Community Financial Corporation,6116,$40.75
['Financial services'],-0.17%,-6.95%,India,ca68facfb18344aaa20b1a9c0f8384a6,$0.23 B,Care's Ratings,6115,$7.77
['Professional services'],0.64%,-43.48%,USA,1c3f91135f9447929b5f28aa33e092b1,$0.23 B,Willdan Group,6114,$17.38
"['Banks', 'Financial services', 'Investment']",1.82%,-24.01%,USA,5c21af2f487b43dabed3cf63c99d2112,$0.23 B,Greenhill,6113,$12.85
"['Video games', 'Entertainment']",0.18%,-28.61%,Japan,695920534ae646519d045ff18a35c9f5,$0.23 B,Akatsuki Inc,6112,$17.07
['Financial services'],1.83%,-50.10%,USA,07fd8cf890ba43b8912f663e5d47ffaa,$0.23 B,First Internet Bancorp,6111,$25.07
['Engineering'],0.69%,30.91%,India,5cbee2030dee4946936701875feb5406,$0.23 B,Texmaco Rail & Engineering,6110,$0.72
"['Gambling', 'Entertainment']",3.18%,-22.20%,USA,0611ac39114144838bf9b4d9d354a250,$0.23 B,Century Casinos,6109,$7.78
"['Video games', 'Entertainment', 'Tech']",0.62%,-60.78%,France,5e21403a84f34b66864b65cba29b8006,$0.23 B,Nacon,6108,$2.62
"['Banks', 'Financial services']",1.62%,-9.43%,USA,7be6bbe8acb04cdc9cf36bfe2d1166f8,$0.23 B,Bankwell Financial Group,6107,$30.16
"['Banks', 'Financial services']",3.21%,10.98%,USA,04bf5f708f3840e882e92182b8332ef1,$0.23 B,Plumas Bancorp,6106,$39.92
"['Software', 'Tech']",-3.62%,-57.62%,Japan,0611e4967b0e484e9b5930758bfae8bc,$0.23 B,"Plaid,inc.",6105,$5.98
"['Pharmaceuticals', 'Biotech']",2.69%,10.42%,USA,4ba89268e76941da92134ef9ab035b61,$0.23 B,Acumen Pharmaceuticals,6104,$5.72
['Education'],3.16%,-38.61%,USA,bc92e9dfe0514fc5afb53601c433e5a6,$0.23 B,American Public Education,6103,$12.42
"['Agriculture', 'Real estate']",0.08%,-15.94%,USA,7454a5e2500b40bcaf2cd9066b68c93f,$0.23 B,Limoneira,6102,$13.29
,0.69%,42.66%,USA,91a170d67d2f470cb415c5ff6ae7975f,$0.23 B,Immersion Corporation,6101,$7.29
['Clothing'],-3.45%,38.22%,India,036897c5060244b68389a1aadd3cb0e4,$0.24 B,Cantabil Retail India,6084,$14.72
,-0.97%,-50.72%,USA,c26dea072d0b4d0d8266b971a1883292,$0.24 B,Ammo,6083,$2.05
