ceo,country,employees,founded,industry,link,name,revenue
Vincent Pilette,United States,"2,800",1988,IT Software & Services,https://www.forbes.com/companies/nortonlifelock,NortonLifeLock,$2.8B
George P. Kurtz,United States,"4,965",2011,IT Software & Services,https://www.forbes.com/companies/crowdstrike,CrowdStrike,$1.5B
Minoru Masubuchi,Japan,272,1927,Business Services & Supplies,https://www.forbes.com/companies/japan-securities,Japan Securities,$274M
Yoram Naveh,Israel,"4,198",Not found,Insurance,https://www.forbes.com/companies/clal-insurance-enterprises,Clal Insurance Enterprises ,$8B
Cai Tang Guan,China,"16,755",Not found,Capital Goods,https://www.forbes.com/companies/xinyu-iron-steel,Xinyu Iron & Steel,$16.2B
Milan Galik,United States,"2,571",1977,Diversified Financials,https://www.forbes.com/companies/interactive-brokers-group,Interactive Brokers Group,$2.7B
Yi Li,Hong Kong,"25,579",2000,Drugs & Biotechnology,https://www.forbes.com/companies/sino-biopharmaceutical,Sino Biopharmaceutical,$3.8B
Suk-Yong Cha,South Korea,"4,469",2001,Household & Personal Products,https://www.forbes.com/companies/lg-household-health-care,LG Household & Health Care,$7.1B
Yoshitoshi Kitajima,Japan,"37,062",1876,Business Services & Supplies,https://www.forbes.com/companies/dai-nippon-printing,Dai Nippon Printing,$12.3B
Mitsuharu Yasuda,Japan,"3,106",1917,Banking,https://www.forbes.com/companies/north-pacific-bank,North Pacific Bank,$1.1B
Maurici Lucena Betriu,Spain,"8,811",1991,Transportation,https://www.forbes.com/companies/aena,Aena,$2.7B
Hideo Takasaki,Japan,"25,424",1918,Chemicals,https://www.forbes.com/companies/nitto-denko,Nitto Denko,$7.7B
Michael J. Kasbar,United States,"4,414",1984,Trading Companies,https://www.forbes.com/companies/world-fuel-services,World Fuel Services,$54.8B
Ralf Spann,Sweden,865,1994,Construction,https://www.forbes.com/companies/akelius-residential-property,Akelius Residential Property,$429M
Kong Khoon Tan,Malaysia,"7,803",1963,Business Services & Supplies,https://www.forbes.com/companies/hong-leong-financial,Hong Leong Financial,$1.9B
Nobuhiro Doi,Japan,"3,553",1941,Banking,https://www.forbes.com/companies/bank-of-kyoto,Bank of Kyoto,$1.2B
Hi-Moon Choi,South Korea,"1,501",Not found,Diversified Financials,https://www.forbes.com/companies/meritz-securities,Meritz Securities,$2.4B
Hideyuki Kudo,Japan,"5,605",1952,Banking,https://www.forbes.com/companies/shinsei-bank,Shinsei Bank,$2.6B
Xue Dong Wang,China,533,1984,Banking,https://www.forbes.com/companies/china-development-bank-financial-leasing,China Development Bank Financial Leasing,$3.5B
Stacy C. Kymes,United States,"4,711",1908,Banking,https://www.forbes.com/companies/bok-financial,BOK Financial,$2B
Keisuke Mukunashi,Japan,"4,415",1878,Banking,https://www.forbes.com/companies/yamaguchi-financial,Yamaguchi Financial,$1.6B
Zhang Zhiyong,China,"93,087",2006,Telecommunications Services,https://www.forbes.com/companies/china-communications-services,China Communications Services,$20.8B
Not found,China,"7,870",2000,Chemicals,https://www.forbes.com/companies/ganfeng-lithium,Ganfeng Lithium,$1.7B
Sérgio Leite de Andrade,Brazil,Not found,1953,Materials,https://www.forbes.com/companies/usiminas,Usiminas,$6.5B
Miguel Maya Dias Pinheiro,Portugal,"17,331",1985,Banking and Financial Services,https://www.forbes.com/companies/banco-comercial-portugues,Banco Comercial Portugues,$3.2B
Thomas Robert Cangemi,United States,"2,815",1993,Banking,https://www.forbes.com/companies/new-york-community-bancorp,New York Community Bancorp,$1.8B
Hans Jarl Rutger Arnhult,Sweden,427,Not found,Construction,https://www.forbes.com/companies/castellum,Castellum,$738M
Christian Hartel,Germany,"14,406",1914,Chemicals,https://www.forbes.com/companies/wacker-chemie,Wacker Chemie,$7.3B
